Rating,Description,Pros,Cons,Author Info,Resignation Reason
3.0,A decent tier 2 company ,Benefits are good. ESPP option is amazing. Culture is also decent. ,"Growth is not too great. Too many old timers who have settled down in their comfort zone, so there's lack of innovation. ","Verified UserCurrent Employee  A*****  Produce Manager - May 4, 2022",
5.0,Good Company...terrible middle managers,"Solid comp, decent RSUs, good wlb but it's team dependent","Too much bureaucracy, some really bad middle managers, lots of silos","Verified UserCurrent Employee  n*********  Program Manager - May 6, 2022",
4.0,Great place to work,Great work life balance; everyone wants to do the right thing for the company ,Uncertain career progression. Internal candidates often get overlooked in favor of external ones ,"Verified UserCurrent Employee  w*********  Senior Director, Product Management - May 6, 2022",
2.0,"Not a place for work life balance, full of politics.","PerksPay (if including stocks)Company policies are good. But what matters most in the team, work and manager. Adobe has lost its work life balance quality during wfh.","ManagementWork life balance is terriblePolitics in higher management Manager can even play politics with employees, not just with other managers.","Verified UserCurrent Employee  f*****  Software Engineer - May 6, 2022",
4.0,Work life balance is good,"Wellness compensation, work life balance, stability if you want to stay longer","Some teams really sucks, nothing to learn, no tech stack","Verified UserCurrent Employee  m*****  Computer Scientist - May 5, 2022",
4.0,Great benefits and very good wlb,Good management who give you space to work your own way. Great place to work if you have a family.,"Aging martech stack, product direction is floundering in digital experience. Newer competitors popping up with better technology and focus","Verified UserCurrent Employee  z*****  Solutions Consultant III - May 4, 2022",
5.0,First Impressions ,Very supportive team and manager clarity on projects and consideration on workload and not taking on too much from manager.,None to note currently. Stock price is down since I've joined.,"Verified UserCurrent Employee  l*******  Marketing Manager - May 3, 2022",
4.0,"Gr8 WLB, Management heavy with no direction","- Great WLB and benefits.- So many products to learn from, which provides great learning opportunities.","- Compensation is below par compared to industry,.- Directionless middle management, heavily cluttered and each trying to push their agenda.- Growth is extremely slow; management is filled with less technical experienced candidates and old school.","Verified UserCurrent Employee  s********  Software Back End Engineer - May 3, 2022",
1.0,Disappointing ,Benefits and compensation. Good amount of PTO although you feel like you should be working even when you're off. ,"Management was horrible, no direction, team morale was negative, constantly stressed outside of work. My colleagues feel the same way but don't have the nerve to leave. ","Verified UserCurrent Employee  G*****  Produce Manager - May 3, 2022",
4.0,Adobe is amazing. Your managers may not be.,"Benefits, work-life balance, the product… all exciting reasons to stay. Adobe as a whole is incredible.","It all comes down to your management chain. Corporate politics/pandering in my part of the business also runs rampant. If I had a different manager and skip level, my experience would be a 10/10. ","Verified UserCurrent Employee  h********  Communications Manager - May 3, 2022",
4.0,"Great WLB, good for retirement ",WlbStocks esppFoodGood culture helpful people Cafeteria Pantry ,Bug fixes Maintenance modeManagement Poor ColleguesPoor upper management Slow track ,"Verified UserCurrent Employee  D********  MTS II, Software Engineer - May 2, 2022",
5.0,great company with best perks,"best work life balance with best people , very supportive and stable job","work little common with outdated technologies , and management is not that good","Verified UserCurrent Employee  L*****  Software Developer I - May 1, 2022",
5.0,Great work life balance,"Employee stock purchase program at discounted  rate, good compensation, culture, perks like wellness reimbursements, education reimbursements. No real competition for Adobe products.",Career growth. Employees are bound to stay longer in their current roles for long. ,"Verified UserCurrent Employee  d******  Senior Solution Architect - May 1, 2022",
5.0,Great work life balance ,Great work life balance. Great perks. Great colleagues. Good products,No career growth. Bad food in cafeteria. Average management. Average talent. ,"Verified UserCurrent Employee  n*******  Software Applications Engineer I - Apr 30, 2022",
5.0,Great place to work ,Good career growth for engineers that have seasoned background and experience,Company strategy is unclear. Very license driven organization. Work life balance could be better,"Verified UserCurrent Employee  t*****  Solutions Consultant III - Apr 29, 2022",
1.0,Low pay,WLB is decent though not the best in the industry ,Low payTrash techDiversity at the cost of talent,"Verified UserCurrent Employee  G**  Software Engineer - Apr 29, 2022",
5.0,Great overall company and brand. Your experience will mostly depend on your team and managers.,Big company and well known brand. Education and wellness stipends.,Difficult to grow because it's so big.  Lots of competition in the market. ,"Verified UserCurrent Employee  d*****  Sales - Apr 29, 2022",
2.0,It is not a tech company.,No Performance Improvement or   Dev list culture. Learning Reimbursements.Great campus and food,Lack of innovation Slow growth Tech debtPoliticsBiased for old hires,"Verified UserCurrent Employee  h***  Computer Scientist - Apr 28, 2022",
3.0,"Great work life balance, can be career stutter! ","Great work life balance, decent benefits and perks, free access to any creative product available if you're a creative person. A very diversified employee culture.","Below average compensation, difficult to switch teams within the company, some teams can get political, management are slow to respond to change, old tech stack, company is reliant on old brands to grow without innovating. Extremely difficult for ambitious people to grow within the company as there are lack of opportunities for challenge. ","Verified UserCurrent Employee  s*******  Quality Engineer IV - Apr 28, 2022",
4.0,Good for Engineering profile,"WLB, Culture, good for engineering roles (SDE , CS , MTS)","Macro Management, Not good for support roles, bad leave policy for support profile","Verified UserCurrent Employee  d*******  Senior Consultant - Apr 28, 2022",
5.0,Great place to work,Good comp for east coast cityWork life balance Smart people,Promotions take a long time to materializeInternal move across org can be tough,"Verified UserCurrent Employee  V*****  Technical Architect - Apr 28, 2022",
5.0,"Good wlb, and tc",Work life balance is very good Compensation is on par with others,Management is supporting but it needs to be improvedLots of old tech is still used,"Verified UserCurrent Employee  q*****  Computer Scientist - Apr 28, 2022",
3.0,Great benefits,"Good pay and benefits, fun and challenging work, decent growth opportunities ","Big tech, not a fan of HR leadership, very business-politics oriented","Verified UserCurrent Employee  t*********  Software Engineer III - Apr 28, 2022",
5.0,Great work life balance,Life balanceNice peopleA lot of avantagesCool projects,No cons to report at the moment. Let see in the future,"Verified UserCurrent Employee  q*******  Software Engineer - Apr 27, 2022",
5.0,great,great work life balanceeasy to navigatebuildings and gyms are greatsalary is high by not as high as google/microsoft ,moves too slowDinosaurs aka director level architects unwilling to innovate and want to do old school things. ,"Verified UserCurrent Employee  r*****  Senior Product Manager - Technical - Apr 27, 2022",
