Rating,Description,Pros,Cons,Author Info,Resignation Reason
2,Good liberal environment. Expect anti Chinese racism,"Reasonable wlb, empathetic coworkers, solid compensation, well meaning culture, flexible remote policy","discriminatory environment against Chinese engineers, lack of accountability, lack of strategic direction","Verified User Current Employee w** Software Engineer - Apr 29, 2022",
5,Great place to work,* Worklife balance is something i truly am enjoying here than any of my past companies* Brilliant co-workers* Almost no office politics* Able to have open and transparent conversations with peers and leadership,* Payscale in India is not comparable to similar work done in other countries.,"Verified User Current Employee j******* Product Manager - May 5, 2022",
4,Great wlb,Great work life balance. Recently announced remote work policy is positive.,Effective management decision making would help day to day work move faster,"Verified User Current Employee q****** UX Engineer - May 4, 2022",
5,Super employee friendly,- Great work life balance. Ample time to pursue passions beyond work and spend time with family- Non competitive work culture. New joiners given space and time to ramp up- Great benefits and policies,- Very functionally aligned- so difficult to navigate if you're not in HQ,"Verified User Current Employee o***** Brand Manager - May 4, 2022",
4,Great WLB on some teams. Too much hierarchy,- company respects employees- good wlb in infra- good remote policy,- top down leadership- bad WLB in product- lots of bad senior hires,"Verified User Current Employee R***** Software Engineer - May 3, 2022",
5,Great work life balance,1. Work life balance 2. Travel Bonus3. Really good culture and community,1. Job is generally less interesting in Infra but pretty intense in the Product side.,"Verified User Current Employee g*** Software Engineer - May 2, 2022",
5,Great wlb,"Pay, wlb, culture, remote policy are amongst the best in the industry.","Some teams can be intense, especially towards release deadlines resulting in burnout.","Verified User Current Employee G***** Software Engineer - May 1, 2022",
5,Great culture and compensation,"CompensationBenefitsCulture andWLBare pretty good, probably one of the best in the industry.",Lack of challenging workLearning is limited when it comes to tech.,"Verified User Current Employee a****** Software Engineer - May 1, 2022",
4,"Great for, great purpose, ""tech pace""",Pride in contributing to great products getting into the world.,Must be able to manage at the tech industry pace.,"Verified User Current Employee M**** Program Manager - Apr 29, 2022",
3,"Inspiring purpose, Design Led",- Exciting Company & Purpose- Great Office- Competitive Pay & Perks- Great Design- Good Business,"- Backstabbing Culture (may vary by group)- Super design-focused, hard to put product strategy first","Verified User Current Employee k***** Lead Product Manager - Apr 28, 2022",
5,"Great WLB, Great Culture",Travel benefitsSmart peopleFreedom to choose things you want to work on,"Airbnb is way too awesome, can't find any flaws. Love it.","Verified User Current Employee V****** Senior Software Engineer - Apr 26, 2022",
4,Solid besides WLB,- Great people. Smart and empathetic- Interesting challenges - Solid comp and benefits,"- WLB can be a lot better- Not a startup, but acts like a startup","Verified User Current Employee r****** Business Analyst - Strategy and Operations - Apr 23, 2022",
1,Can be a Toxic Environment for non-White Employees,Great benefits. Great intention. Well meaning peers and leaders.,"Dissmissive of women and minorities - male centric environment. Lack of patience, operates at a warp speed often without reason. In crowds and popularity inform growth opportunities.","Verified User Current Employee X***** Administrator - Apr 23, 2022",
5,I love this place.,Never worked with a group of people that are more smart yet humble and fun.,Remote still isn't decided but we'll know more this month.,"Verified User Current Employee a***** Business Analyst - Apr 23, 2022",
4,"Great WLB, comp and benefits",Great place to rest and vest. Competitive top of the market pay,Not sure abt the future in engineeringScope of work to grow up the ladder is less,"Verified User Current Employee s******* Senior Data Engineer - Apr 22, 2022",
2,No design growth,"Design is important here, pays well for some team if you good at negotiating",For low and mid level designers. There's no growth. They just keep hiring senior levels and no one do the work but you.,"Verified User Current Employee d********* Designer - Apr 20, 2022",
4,"Interesting work, scale, and creative coworkers","Having worked at Airbnb for more than 5 years, it's been a great ride. The work has been interesting, the challenges are unique; the community involves real world interaction as well as its online marketplace. Most have worked in several different areas over time and those that joined early grew with the company. The culture is more laid back than other companies (based on peers elsewhere), although the status of remote work is still to be decided.","Management still has areas to improve (communication, feedback, and mentorship). Lack of clear divisions of ownership in Operations leads to a lack of individual accountability among leadership.","Verified User Current Employee I**** Operations Manager II - Apr 19, 2022",
4,Red tape,Nice and supportive individuals; frontline managers are helpful. Tech projects are easy to get done.,Everything above frontline managers are a Blackbox. It's a one way street from the top - very difficult to use tech to inform design.,"Verified User Current Employee z***** Software Engineer - Apr 17, 2022",
3,Overall good place to be but can be frustrating,Great peopleGreat missionGood payExcellent benefitsSupportive leadership,A lot of unnecessary churn from senior leadership.Engineering lacks rigorMany data driven leaders have recently left the company,"Verified User Current Employee I********* Senior Manager, Data Science - Apr 17, 2022",
3,TC,"TC is excellent, and some teams have very good WLB.",You might find it frustrating if you're an ambitious go-getter.,"Verified User Current Employee p********* Software Engineer - Apr 14, 2022",
5,one of the best companies I've ever worked at,W/L balance is amazing.Compensation/benefits is top notchVery little politics going on.,"Company grew really fast, so there's A lot of tech debt needing cleaning up.","Verified User Current Employee C***** Director, Engineering - Apr 12, 2022",
4,Great work life balance and great culture,The culture and the overall mission are the biggest pros. Great perks too.,Lack of growth opportunity and salary could be more competitive.,"Verified User Current Employee p******** Account Manager - Apr 11, 2022",
4,Decent place,Not that much pressure to get things done during normal times.,Management and upper leadership take control of everything and decisions are made without your input.,"Verified User Current Employee M******* Senior Software Engineer - Apr 10, 2022",
5,Great place to work for,Airbnb has been a great place to work for if you are a engineer. We have a lot of smart individuals here who you can learn from to rapidly grow your career.,Long hours are possible if you end up working on a project the CEO is currently focused on. However these are the sorts of projects which can help stretch and grow you as an engineer so there is room for growth here.,"Verified User Current Employee T********* Staff Software Engineer - Apr 8, 2022",
4,Great work life balance,"Good pay, WLB, good benefits, good perks. most people are easy to work with","mid to lower management is not good, you won't learn anything from them","Verified User Current Employee a****** Software Engineer - Apr 7, 2022",
5,Caring culture but poor eng practices,"Caring culture, growth stock, strong brand, good design, amazing comp if you got in pre ipo","Tech-enabled company, not a tech company. Kind of siloed and political eng orgs","Verified User Current Employee O***** Software Engineer - Apr 3, 2022",
4,Terrible management,"The pay and benefits are great, work life balance is nice",Weak management. You may burn out by your management because they have nothing to offer for your career.,"Verified User Current Employee a****** Senior Software Engineer - Apr 3, 2022",
3,No longer great,Compensation is good but may not remain so for long.,Work life balace is very team dependent and can be very bad in some teams. Too much kool aid on belonging. Management and some staff+ engineers are subpar.,"Verified User Current Employee r*** Software Engineer - Mar 31, 2022",
4,Not a bad place to work,"Great and smart people, good compensation and flexible working hours","Constant reorgs, top down management style, difficult to move up","Verified User Current Employee w***** Program Manager - Mar 30, 2022",
5,Great company,Many opportunities to work on fun and exciting projects on different teams,Occasional conflicts between different departments in the company. But not always,"Verified User Current Employee b***** Engineer II - Mar 25, 2022",
5,Great work life balance,"Industry leading compensation with great work life balance , great culture",Hiring a lot of external talent at higher levels instead of promoting internally,"Verified User Current Employee o***** Software Engineer - Mar 24, 2022",
3,"If you don't care about career growth, it's fine","Depending on the team, you can rest and vest. Good market cap for the company. Good benefits. Nice people.","Junior management, that doesn't know how to deal with conflicts among senior people. Lots of politics, Brian is involved with the design process even now. So many Senior Eng that they're all fighting for impact. CEO out right said they expect you to work late and sacrifice your off time.","Verified User Current Employee ***** Senior Software Engineer - Mar 15, 2022",
5,Great pay and people around,Great pay and company cultureGreat benefitsGreat people on the team,Less growth opportunityLess interesting projects as the company stops investing in new initiatives other than the core business,"Verified User Current Employee u***** Engineer - Mar 15, 2022",
5,Great place to work,- Pro People culture- superb work life balance- Very Good tech stack- No nonsense meetings,- Perks are limited - Product diversity is limited,"Verified User Current Employee l***** Engineering Manager - Mar 15, 2022",
4,It's been an okay experience,The pay level (gradually dropping tho) is a pro for working here,Work life balance :( Top down decision making flow :( Projects are not interesting :( Politics :(,"Verified User Current Employee c***** Software Engineer - Mar 14, 2022",
4,I learned a lot,Exposure to many different projects Great colleagues and supportive atmosphere,Inexperienced managersBelow average compensation Lay offs were so poorly executed,"Verified User Former Employee M***** Sales - Mar 12, 2022",I was part of the big lay off in 2020
3,"Amazing culture, great WLB, poor Eng career growth",Culture is the best in the industry and great WLB.,Growth beyond L5 is nearly impossible for Engineers. Top down driven culture.,"Verified User Current Employee c********* Senior Software Engineer - Mar 9, 2022",
1,Do NOT join,Used to be good for pre IPO share but there is no reason to join now.,Don't join the company. The management is terrible and full of two face managers the infra and developer tools are crap.,"Verified User Current Employee i****** Software Engineer - Mar 8, 2022",
4,"Great culture, really awesome people","Great culture, really awesome peopleWorking on real world problems",-- Low salary for non tech positions-- Work life balance is bad with the new bi-annual release model,"Verified User Current Employee F***** Business Analyst I - Mar 7, 2022",
4,Great compensation and benefits,Great compensation especially the equityResilient business growth and outlook,Top down decision making culturesSometimes very stressful and bad wlb,"Verified User Current Employee b***** Data Scientist - Mar 4, 2022",
4,"Long hours, but interesting work","Very big projects, which can be a great learning experience. Teams willing to help each other.",Very top down. Can't work as agile as expected. Everything needs to be approved by Brian.,"Verified User Current Employee t***** Senior Product Manager - Mar 2, 2022",
5,Was a great place to work at,- equity going to the moon - great benefits - Airbnb credits,- no more challenging work- too big to move fast - lack of clarity from management on future of London office,"Verified User Current Employee X***** Data Scientist II - Mar 2, 2022",
5,Vacation and benefits are good,"Vacation, your manager loves vacation too so you can take all your vaca days every yearBenefits, no insurance premium","Manager don't care if you take a vaca or too much vaca, but they don't promote you or advocate you for raise","Verified User Current Employee Q***** IT Analyst - Feb 27, 2022",
3,It's just okay,Most people here are pretty niceGood wlbCompetitive pay,Top down cultureNot very eng driven or data driven,"Verified User Current Employee B***** Software Engineer - Feb 26, 2022",
3,"Smart people, poor execution","Smart people, people trying to do the right thing, empathetic environment","Poor execution and direction , middle management checks checkboxes without understanding,","Verified User Current Employee a*** Software Engineer - Feb 22, 2022",
3,It was fine,culture esp folks outside of engineering is great and the free food was amazing,folks working in sf have more control than folk remote,"Verified User Current Employee h***** Software Engineer - Feb 19, 2022",
3,Great work life balance,Salary/comp attractive (esp. pre-IPO RSUs)Good support systemSome work is interesting,No clear trajectory upwardsMinimal control over execution at local level - dominated by head office,"Verified User Current Employee s***** Manager of Sales - Feb 18, 2022",
5,Great company and culture,culture matterspay is goodgrowthpeople are niceoffice is nice,promo is hardsomtimes wlb is not goodno more,"Verified User Current Employee g******* Engineer - Feb 15, 2022",
4,"Really nice people, decent growth, good comp but not great leadership","Working with generally smart and kind people, work life balance is good","Leadership, consistently blocked my design reviews, jarring roadmap changes and delays","Verified User Current Employee a***** Software Engineer - Feb 15, 2022",
4,Great work life balance,"Flexible working hours, over time not commonAirbnb travel credit",What we say does not match what we doMid-level management is weakToo many dreams with little executionA company promoting live anywhere lifestyle but not supporting it by its own employment policy,"Verified User Current Employee h******** Manager, Business Development and Strategy - Feb 14, 2022",
4,"Great culture and w/l balance, decent management, and ok compensation.","The culture and work life balance at this company is immaculate, depending on your role you might be encouraged to travel too. Also the HQ has 3 daily meals in two buildings with close proximity.","Management can be spotty, and Brian might lay you off and cry on a Zoom call for you.","Verified User Current Employee p***** Product Designer - Feb 13, 2022",
5,Decent Comp. Slow Growth,Compensation PeopleCulture$2000 travel benefitsWinter shutdown 7-10 days off,Poor work life balanceVery top down approachAlways under resourced,"Verified User Current Employee x***** Designer - Feb 10, 2022",
4,"Great culture, but lacking elsewhere",Great people and flexible working conditions. Airbnb's culture is top tier.,"A very tops-down approach, which sometimes means not a lot of autonomy for teams.Internal mobility can be difficult.","Verified User Current Employee a******* Operations Associate - Feb 9, 2022",
4,Good place to settle in,- really smart and kind colleagues - great global brand that everyone knows- extremely generous comp,- pace of innovation slow- very top down- a million sign-offs on decisions and stakeholder alignment - career growth is very slow and self-promoting,"Verified User Current Employee a******** Data Scientist - Feb 7, 2022",
5,Great work life balance,Good compensation with current stock priceNice culture Capable CEO with great vision,Less autonomy on decision makingLess technical challenging problems to solve,"Verified User Current Employee l****** Engagement Leader - Feb 6, 2022",
4,Great company with nice compensation and benefit. Good culture!,Great diversity and belonging. Love the company culture. People are supportive and helpful.,Haven't completely recovered from pandemic. Will need some time to grow.,"Verified User Current Employee s***** Software Engineer Manager - Feb 2, 2022",
4,Great work life balance,* Great Work life balance * Great pay* Employees gets pampered,* Slow growth * Work is okayish * kool aid culture,"Verified User Current Employee D***** Software Engineer - Feb 1, 2022",
4,Great work life balance,Airbnb comp packages are high and the stock price doesn't hurt,A lot of drama and politics within the leadership team. No candor or open feedback.,"Verified User Current Employee v***** Software Applications Engineer I - Jan 29, 2022",
4,"Great people, good culture, but became too top down","People at work are compassionate and smart. Comp is really good, work life balance generally also.",I had few complaints a couple of years ago... Now the main one is everyone is blocked by design resourcing and projects are dictated by leadership instead of sourced from teams directly.,"Verified User Current Employee A***** Software Engineer - Jan 28, 2022",
5,Great company,Leadership cares about peopleGood compensation Good Work Life Balance,"it would be even better if there are more growth opportunities, but understandable given the Covid situation","Verified User Current Employee y***** Engineer - Jan 27, 2022",
4,Great work for web,Work life balance and good management and good food and nice people,"Opportunity size small, infra a little sucks and overall a good place to work","Verified User Current Employee s***** Software Engineer - Jan 26, 2022",
4,Good place to work,"Interesting work, career growth opportunities, fun product, unique matters, good wlb",The company is thinly staffed in some areas which makes workload distribution challenging at times,"Verified User Current Employee O****** Finance - Jan 25, 2022",
4,"Low stress, great compensation, little growth opportunity",- Excellent compensation- Relatively low stress excepting some product teams around launch deadlines- High bar for talent,- Limited growth opportunity both at the career and company level- Top-down decision making leaves engineers frustrated,"Verified User Current Employee j***** Software Engineer - Jan 24, 2022",
4,"Slow mobility, lack of salary transparency, but I've been lucky with management",Good work life balance and Personal time off as well as family leave,Few growth opportunities since talent is replaced by less expensive employees in Canada and India,"Verified User Current Employee R******* Service Coordinator - Jan 23, 2022",
4,Come for good wlb not for career growth,"Good: WLB and pay are very good here, people are nice","Bad: Slow career growth, boring project, no big scope, hard to grow","Verified User Current Employee K***** Software Engineer - Jan 19, 2022",
4,Great work life balance,Great WLBGreat compGreat officeGreat productGreat culture,Eng is clear second fiddle to designSome fake niceness,"Verified User Current Employee n***** Senior Software Engineer - Jan 19, 2022",
3,A once great company to work for that has stagnated,The compensation is top of the line… if you're lucky enough to have joined pre IPO. And the WLB isn't horrible.,"Zero career growth, tons of politics, wildly inconsistent quality of management.","Verified User Current Employee p******** Staff Software Engineer - Jan 18, 2022",
