Rating,Description,Pros,Cons,Author Info,Resignation Reason
2,No more allure with the recent RSU performance for tenured employee,Here you are molded into someone who can absorb a lot of pressure and poor WLB so that you can work well at another company with better atmosphere.,The company name on your resume could be a drawback as it represents toxicity.The pay is not competitive and tenured members are short changed with low comp and high barrier to promotions.The weaponization of customer obsession is sickening and toxic.,"Verified User Current Employee  r*******  Technical Business Development Manager - May 6, 2022",
4,You will learn a lot.,Good pay and industry recognition.You get to work on some high visibility and customer facing products,On avg it's 10-12 hours work a day.Dev plan and focus.,"Verified User Current Employee  u*****  Software Engineer II - May 6, 2022",
4,Overall happy,One of the best places to work at. Great / smart people.,Need to be aggressive to keep up with other outside opportunities.,"Verified User Current Employee  l*****  Principal Research Scientist - May 6, 2022",
3,Great place to learn,"Scale of Amazon, endless domains to pick from, global work opportunities","Culture does not promote team-work, timelines are unrealistic and unmanageable","Verified User Current Employee  E*****  Product Manager - May 6, 2022",
1,Toxic work culture,FAANG tag eventhough interviews are a joke nowGood product,Backstabbing Pip culture No ethicsBad WLB Lot of managers who are only after money,"Verified User Current Employee  y*******  Software Developer II - May 6, 2022",
4,"Great for external hires. Come here, enjoy two years of cash, stay for the golden shackles two more years if worth it.",Promo can be fast if you land on the right team and work (a lot),"WLB can be brutal. If you land in a bad team/manager, promo will take forever.","Verified User Current Employee  g*****  Software Engineer II - May 6, 2022",
3,"Good salary, smart people, however not healthy environment ",Work with smart people.Salary is goodOpportunity to work in interesting projectsLearn internals of cloud products from AWS.,"Terrible work life balance.Hard to work as a team with your coworkers, mainly because managers want this wayEveryone is concerned in achieving your own goals regardless the relevance of it for the org.Sense of urgency for new tasks that arrives in your plate, which may overload your capacity during the week.Lack of management to lead the team to achieve goals, you are in your ownYou might be piped at any time ","Verified User Current Employee  K*****  Software Engineer - May 6, 2022",
4,Lots of opportunity,Lots of autonomy to get things done and learn about new areas of the company,WLB can sometimes suffer due to frequent deadlines and scope changes,"Verified User Current Employee  d*****  Program Manager - May 6, 2022",
4,Good after 2 months,"Smart people, interesting projects. Work life balance is good so far after a couple months.","Attrition is high, not necessarily any worse compared to other companies I'm familiar with.","Verified User Current Employee  z*****  Software Development Engineer III - May 6, 2022",
5,Good place to stay,"Work Life Balance is good tho, pay is fair, guys are smart ","New hires pay is way higher than me, internal promotion should beat that","Verified User Current Employee  E*****  Software Engineer I - May 6, 2022",
3,Mixed management,"If you get a good team, work can be very enjoyable. ",The on-call burden in AWS can be high although there is also variance.,"Verified User Current Employee  Q*****  Software Development Engineer - May 6, 2022",
4,Good work life balance and great management.,"Career growth, new technologies to work upon, good work culture","Compensation is not that great, with stock added to yearly increments","Verified User Current Employee  r******  Data Engineer II - May 6, 2022",
4,I’ve created work/life balance,-ability to have autonomy in my role-work/ life balance/ harmony,-career growth-compensation structure and promotions are not practical in today’s working culture,"Verified User Current Employee  N**  Program Manager - May 6, 2022",
3,Seems to be hit or miss depending on the role,Having amazon on your resume. Good benefits and opportunities to move around.,Current role has an insane workload. No consideration for work life balance. First position was very chill. Constant emphasis on speed leaves so many gaps and inaccuracies but as long as it’s done fast no one cares. Planning / forecast cycles are a nightmare with constant last minute changes. Pressure to return to office.,"Verified User Current Employee  F*****  Senior Finance Analyst - May 6, 2022",
3,Worst work life balance,So many challenging projects and much more to learn. You really improve your document writing skills and grow to a manager level skills.,am from payments org and work life balance here is worst.,"Verified User Current Employee  a*****  Software Developer I - May 6, 2022",
4,Great company for starting carrer,"New technology, opportunities for individual contribution, decent salary package ,easy role and project switch policies","Leadership principles clash each other, no carrer growth at senior level. Below average employee benefits. ","Verified User Current Employee  t*****  Quality Engineer II - May 6, 2022",
4,Good C&B but low workforce stability,Good on your resumeGood C&BLots of career opportunities through Inertnal move,You never know when PIP comes to you for your manager‘s unregretted attrition rate quota thus you need to play office polytics and/or internally move every time you sense that things are not going well with you at work.,"Verified User Current Employee  K*****  Operations Manager II - May 6, 2022",
