Rating,Description,Pros,Cons,Author Info,Resignation Reason
3,Great projects but terrible wlb,Great projectsSmart engineersEveryone works hardStock will always go up,"No wlbNo remoteNo perks, just desk and wallsEverything is always urgent","Verified User Current Employee W********* Acquisition Program Manager - May 6, 2022",
4,Good company overall,Good Job security. Never heard of layoffs. Good pay. RSU.,Frequent re-orgs. Mandatory return to office post pandemic 3 days a week.,"Verified User Current Employee q***** Software Applications Developer - May 6, 2022",
5,A,"Good company, strong leader ship, believe in the a culture Okay",No free food No hybrid work culture No perks per se,"Verified User Current Employee C********* Engineer - May 6, 2022",
5,Great company in general,"Immediate managers are caringAble to start and end work according to my own scheduleHealth benefits - chiropractor, dental etc at a very affordable price",Job is very monotonousNot much opportunities to grow in current department,"Verified User Current Employee h********* Content Analyst - May 6, 2022",
4,Poor wlb,"Smart engineers, challenging problems, cloud acceleration, user privacy, solid benefits","Limited growth, lots of politics, no wfh, comp behind other leaders, must be in- network to grow","Verified User Current Employee G***** Engineering Manager - May 6, 2022",
5,I like working here and it’s IS&T,"Everything important is good here. Culture, compensation etc. People in my team are super friendly.",Maybe growth is slightly slow. Also they don't give much benefits like free food or transport. IS&T is alwy low on budget,"Verified User Current Employee H***** Software Engineer - May 6, 2022",
3,I was a contract designer so my feedback is based on that,Okay work life balance. Important projects don’t go to contractors anyway.,Limited career growth unless you leave and find other opportunities. Being a contractor at FAANG is a step stone.,"Verified User Current Employee k***** Designer - May 5, 2022",
3,Minimal perks and average salary,"Not a bad place to work, cares about end user, lot of focus on user privacy etc","Average salary, minimal perks and constant late meetings with US teams","Verified User Current Employee F***** Senior Software Engineer - May 5, 2022",
3,Top down management,Brand value is great for external image Discount for apple products,Too down and siloed managementSlow moving and risk averse,"Verified User Current Employee d***** Software Engineer - May 5, 2022",
3,Operates in its own style,Good Performers will have significant growth compare to average performer,"Not very transparent, work life balance is not good in all groups","Verified User Current Employee S******* Engineer - May 4, 2022",
4,I’ve been here for nearly 10 years as part of AppleCare and I’ve had a great experience so far.,Great work-life balancePlenty of opportunities to advanceOpportunities to explore other roles in the company,Constant change in management/teams can feel like stalled progress when you have to get acquainted with a new manager,"Verified User Current Employee l***** Technical Support Advisor - May 4, 2022",
5,WLB isn’t that bad,Nice compensation. I am surrounded by great engineers who have taught me a lot.,Extreme tense at weekly meetings with execs. No free food.,"Verified User Current Employee m***** Hardware Engineer - May 4, 2022",
5,Great company to work for,Brand value is the best reason to work for apple,Work load is very much. Sometimes you won't be able to distinguish between work and your life,"Verified User Former Employee r******** Sales - May 3, 2022",Had to go somewhere else to work and apple was not allowing switching
3,average benefits no wfh,"products have huge impact, experience changes from team to team",management is cheap forget about food you will pay for diet coke,"Verified User Current Employee Y******** Senior Software Engineer - May 3, 2022",
