Rating,Description,Pros,Cons,Author Info,Resignation Reason
3.0,"Great WLB, Permanent wfh, Good care for employees",Top leadership cares about their employees. Stands for their values. Transparency is the key here.  ,"CSS is a different animal in the whole company. Immediate managers are just working as per their group managers command. No innovation at ground level. Growth in CSS is pain area. You are rated with all possible softskill found in the world. Everything needs confluence page, to prove your work/worth.","Verified User Current Employee  _********  Applications Support Engineer - May 5, 2022",
4.0,Great work life balance and culture for big tech,"Good WLB, good people, work sometimes can be interesting and has high visibility","Slow to roll out features ,Growing pain, Management can be tough to deal with","Verified User Current Employee  W*****  Software Engineer - May 2, 2022",
4.0,Good place to chill,- Great Culture- Great WLB- Great Management- Remote work available ,- Compensation not as high as other higher tier companies- Promotion leveling not as easy,"Verified User Current Employee  j******  Software Engineer I - May 2, 2022",
4.0,"Management can be a miss, great otherwise",You feel really valued and are treated like a human being. It's clear the company isn't cutting corners when it comes to recognizing and valuing their employees.The company values manifest themselves all the time. From the big company decisions to the small everyday things.,"Management, for me, seems to have a tendency to be uninterested in your career growth. Our L&D department is very ineffective and spends months 'developing' needlessly convoluted processes that only serve to waste your time and get abandoned/ignored weeks after they're released. ","Verified User Current Employee  S***  Support Engineer - Apr 30, 2022",
4.0,Great WLB,- Great WLB in most teams - EQ over IQ- Company values ,- Not so Great WLB in some teams- Growing pains - Can be slow at times due to multi geo model ,"Verified User Current Employee  w*****  Software Engineer - Apr 29, 2022",
5.0,So far work culture is great ,* Great culture* WLB is great* Management is fine for me,* Exploration part is more than coding for me till now.,"Verified User Current Employee  _***  Software Developer I - Apr 28, 2022",
5.0,"Friendly People, Amazing Culture",People are friendly and welcoming. All remote work. The benefits are great. The work is interesting and there are opportunities to work on what you want to work on.,Being promoted beyond P5 seems hard and unlikely. A lot of senior management is filled externally it seems. ,"Verified User Current Employee  P**  Software Engineer - Apr 28, 2022",
5.0,Employee  focused ,Most likely dependent on team/manager but in my experience takes employee well-being very seriously. Solid company and benefits. ,Can be tough coordinating time zones with AUS if you are in the US but they make it work. ,"Verified User Current Employee  P*********  Operation Analyst - Apr 28, 2022",
2.0,Crap job,"Nice people, above average perks and total compensation, remote work","Bureaucracy, elitism, micromanagement, over-engineering, low staff morale, poor onboarding, no support, don't follow own mission or values or engineering guidelines, hard to get anything useful done","Verified User Current Employee  U*****  Software Engineer - Apr 27, 2022",
4.0,Overall good but could be better,"Open company, no bs. Opportunities to engage with high level stakeholders and atlassian leadership.","Backend systems need major improvement, limited personnel to support sales and customers ","Verified User Current Employee  p*****  Sales - Apr 25, 2022",
5.0,Great place to work,"They treat their employees super well - monthly days off, great compensation and benefits, friendly teammates and managers",Things are definitely slow paced and not for those who want to work a lot,"Verified User Current Employee  V*****  Senior Software Engineer - Apr 25, 2022",
4.0,"Great place if you are in the phase of focusing more on culture, quality, work-life balance. ",- work life balance in abundance - really warm people generally- cross-geo culture- living by Atlassian values ,- harder to get promotions- career skills and growth may take time- shipping velocity comparatively low- no growth for good mid level managers so they leave. ,"Verified User Current Employee  c**  Product Designer - Apr 24, 2022",
4.0,Bad management in Enterprise Org,Work life balance is good.Decent compensation. Good benefits and perks,Very bad managers in India.My managers takes notes  of my leaves and then ask team to apply leaves on workday.,"Verified User Current Employee  b*****  Software Engineer I - Apr 22, 2022",
4.0,"Great work life balance, mostly really nice people, mediocre compensation, good technical quality",Great work-life balanceMost people are really niceGood engineering quality,There are people in upper management who don't care about those below themMediocre compensation,"Verified User Current Employee  k*****  Software Engineer II - Apr 22, 2022",
4.0,Great place to settle in for a good chunk of your career,Common to be happy staying here for several years. Good work-life balance and people actually use the unlimited PTO. People seem to really care about each other. Lots of growth happening in the company. ,"Benefits/salary are good, but not the best compared to bigger companies. Easy to plateau in career growth after a while if you’re not switching teams. Lack of salary transparency. ","Verified User Current Employee  y*****  Software Developer - Apr 20, 2022",
