Rating,Description,Pros,Cons,Author Info,Resignation Reason
3,Good work life balance,"Work life balance, compensation is good, culture is good, lots of fun activities","Management, some teams have poor culture, engineers are average mostly","Verified User Current Employee B***** Senior Software Engineer - May 6, 2022",
4,It is what you make of it,The benefits and perks are incredible. There are plenty of opportunities to change roles and there is a lot of communication across the company. The work-life balance is generally quite good.,Work flexibility and time if are limited. The cafeteria is just ok.,"Verified User Current Employee r***** Software Engineer - May 6, 2022",
3,"Calm, No challenges, No Growth, No money",CalmNo layoffLearn financeInternally International mobilityTrainings Insurance,"No challenges, No Growth, No money, No good engineering practices","Verified User Current Employee s******* Senior Software Engineer - May 5, 2022",
5,Good place to start or end your career,"Great wlbPretty high pay. Not as good as fang but rivals msft Interesting work, flat hierarchy means you'll be leading projects from the start",Flat hierarchy also means you won't get promoted muchPretty bad raises Outdated tech unless you work in certain backend teams,"Verified User Current Employee r***** Senior Software Engineer - May 5, 2022",
5,Great wlb,"Good wlb, no pressure, good collaberative workspace, inter office travel very easy","No performance based bonuses. Almost every one gets the bonuses, money growth not so good","Verified User Current Employee o********* Software Engineer - May 5, 2022",
4,Great place to retire,The work life balance is extremely nice but it can be stressful during certain periods,Careers are stagnating and the people are generally dull. The food is not great.,"Verified User Current Employee s********* Software Engineer - May 4, 2022",
5,"Great work life balance, great training, old stack",Just trying done I'm honestly impressed with the amount of training and resources that are spent on new hires. I'm about to go through pre-training then training for 2 weeks then 1 week for team matching. The company is very chill.,The company is flat so comp increase might be weird and complicated.The stack is apparently pretty old but there's a push to modernize.The gooey on the yee old messaging system needs to be fixed but apparently legacy code is holding it back.,"Verified User Current Employee j******* Software Engineer - May 4, 2022",
5,Good workplace,"Good wlb, if you do well they give you plenty of other opportunities","Somewhat bureaucratic, hard to know exactly what career steps are ahead of you and ultimately it's up to your manager","Verified User Current Employee m***** Risk Analyst - May 3, 2022",
3,Good wlb poor comp,"Good wlb and culture, people are nice but lack quality at times","Comp is poor, poor reward. Lack of motivation due to bad comp structure","Verified User Current Employee O***** Senior Software Engineer - May 2, 2022",
5,"Great Tech Company, Plenty of variety, Excellent comp if you work hard",Really strong engineers to learn fromA variety of work - easy for strong engineers to move team/deptStrong and/or hard working engineers will get noticed and succeed,A little too woke. D&I push is diluting the talent pool imo.Tech stack not the greatest,"Verified User Current Employee f********* Applications Manager Team Leader - May 2, 2022",
3,Good compensation and work-life balance,"Good compensation and work-life balance. There is no hard deadline, so work can be done at your own pace.","Flat corporate structure, no higher level than Senior Engineer unless you're interested in management.","Verified User Current Employee 🐑***** Software Engineer - May 1, 2022",
