Rating,Description,Pros,Cons,Author Info,Resignation Reason
2.0,Depends on team,- competitive compensation - lots of opportunities to learn- people are generally nice,Very disorganized company culture. WLB is not great but people respect your boundaries when you set them.,"Verified User Current Employee  C*****  Sales - Apr 28, 2022",
4.0,Great place to learn technically,Its great place to learn lot of technical stuffsEveryone is friendly and teach you a lot,One of the main barriers is language for non Chinese speakers but still can manage,"Verified User Current Employee  G*****  Software Engineer - May 6, 2022",
3.0,Good learning opportunities; Bad WLB and culture,- very large work scope. Able to have huge impact as new grad- smart colleagues (lots of ex-FAANG)- great tech stack,"- language barrier is a huge problem (e.g. day to day communication with CN team, Chinese docs)- Most teams have some amount of dependency in CN team. So, night work is unavoidable- Very low diversity- Bad PTO","Verified User Current Employee  I*****  Software Engineer - May 6, 2022",
5.0,Disruptor ,If you like to build and have a start up mentality this is the place for you ,"Start ups are in build mode; policies, processes and tools one may expect from a corporate reality are in the making. Can be difficult and frustrating for some","Verified User Current Employee  F****  Business Development - May 6, 2022",
3.0,Competitive comp and that's it ,"Compensation , start up, most entraining app, good brand name ","Culture, no work life balance, transactional work, operates like a call center ","Verified User Current Employee  j*****  Lead Business Analyst - May 5, 2022",
3.0,It's not everyone ones cups tea,Exceptional talent to work along sideNon Hierarchical set up Frequent opportunity for comp/promo adjustment Global set up,"Growing rapidly, with little focus on cultureHard handed HQShort term thinking with often knee jerk reaction ","Verified User Current Employee  a******  HR Administrator - May 5, 2022",
4.0,Your mileage may vary,"Overall can be a great experience if you are on the right team, which I was. Most of the cons came at the organization level. Some pros from my experienceGreat payBonus and salary raises (for high performers)Opportunities for people to move into people mgmtPeople are friendly and all around awesome to work withHigh work ethicDiversity and inclusion","Avg tenure here is probably a yearFormal continued learning is nonexistent WLBComp structure is nontransparent, even for managersPerformance reviewsExecutive mgmtGlobal politicsConstant priority shiftingSetting boundaries is hit or miss with all the above","Verified User Current Employee  s*******  Product Operations Specialist - May 4, 2022",
3.0,Depends on your team,Start up feeling Wide scope for learning Good teammates and positive culture ,No work life balance Very limited benefits and career growth ,"Verified User Current Employee  S*****  UX Analyst - May 4, 2022",
3.0,bad wlb,compensation is overall good and company grows fast so far.,"yearly salary growth is slow. wlb is bad, management needs to be improved","Verified User Current Employee  K*****  Software Developer - May 3, 2022",
4.0,Okish,- Used to be great pay- Great tech- Good for learning new tech,- Not much room for career growth- Very chaotic - Need to spend more time on eliminating toil,"Verified User Current Employee  L*****  Site Reliability Engineer - May 3, 2022",
5.0,"Unique company, once in a lifetime opportunity ",Not everyday you see a new company beating competitors in a global scale. Will have exposure to a high growth global business that rely a lot on local support to shape growth ,Have to be prepared to work hard and adapt your schedule to different time zones ,"Verified User Current Employee  b******  Product Manager/Strategy - May 3, 2022",
3.0,Room for growth but inflexible management ,"Fast-growing company, many new things to work on as they expand","Top-down approach to management, need to work extensively with counterparts in China - time difference issues","Verified User Current Employee  l*****  Software Engineer - May 3, 2022",
1.0,This is the worst company I've ever been at and I'm sad to leave because it actually pays decent. ,"TikTok is a company that pays a lot, but that's about it.  ","Probably missing a few cons, since there are so many!I'm not sure if it's like this in other orgs, but the org is completely mismanaged, with 90+ employees falling under the person.  The company's push for a flat org simply does not work well--at least not in the team that I'm in.  It leads to a complete lack of accountability instead.  Nobody takes notes during meetings, action items are forgotten immediately after each call and there is no follow through.  Random people are added to meetings, making the duration of the calls excessive, especially if they start talking.  Often, it's not even a topic that they understand or should be speaking about.  Also, large meetings are scheduled when it's something that can be hashed out in 5 minutes.  It's possible that this is a way for them to let everyone know that they are doing work.TikTok takes on the China culture of throwing bodies at problems, rather than working on improving processes.The processes are so inflexible that we have no choice but to throw more bodies at problems.95%+ of the people on my team are incapable of performing their role effectively.  It's either from a lack of work ethics, or just doesn't understand the subject.  Do we not actually interview new hires or something? I've never worked at a company where there is this much incompetence stacked together.  ","Verified User Former Employee  L******  Infrastructure Engineer - May 2, 2022","This is the worst run company I've ever been to and I don't see it getting any better.  Each day that passes, I see the ship sinking more and more.  In order for it to be a good company, we need a complete overhaul.  "
3.0,"Good infrastructure, bad coworkers",Higher Compensation than its'peersGenerous annual bonus (3x or more),Get ready to work a 3person's jobManagement will keep u on ur toes by not giving best reviews eventhough u r the best employee,"Verified User Current Employee  z****  Senior Account Manager - May 1, 2022",
4.0,Great ethos and culture,"Bytedance - TikTok embodies core values that resonate beyond the workplace - working hard, and owning your calendar (amongst other things). The people there are excited about company, but the last 12+ months have been difficult due to the pandemic. Great benefits (fully vested company match-401k, lunch stipend).","Have to be comfortable working in ambiguity as there is a plethora of outdated communication docs scattered across different storages, goals become less clear further downstream. Upward movement is possible but almost feels less based on knowledge/experience and more on appearances, just my opinion. ","Verified User Current Employee  c*******  Ad Operations Specialist - Apr 29, 2022",
3.0,Messy management in the US,A loooot of high impact projects for sure. It is pretty easy to promote if you work hard enough. ,A lot of high impact projects means you also have to take on high impact projects if you want to be treated good. Don't need to say what high impact means to WLB. ,"Verified User Current Employee  B*****  Software Engineer - Apr 28, 2022",
4.0,"Too soon to tell, but so far so good.",You can apply to internal opportunities after 3 months. Strong comp & benefits. People are great. The environment is fast paced.,Work-life balance might be an issue.High expectations on bi-monthly goals.,"Verified User Current Employee  K*****  Talent Acquisition Partner - Apr 28, 2022",
4.0,TikTok ,"Non-tech, on the business side:- No budget is too big if the idea is good- very fast paced iteration of projects and programs- very easy to make an 'impact' if you're willing to brag ","- absolute lack of transparency. Unwritten rules that we have to tiptoe around.- lack of communication, coordination between BU, regions, and functions. You can imagine the number of duplicate teams, projects, and confusion- diversity lip service- any mention of FAANG is a no-no. Hugely insecure HR and PR teams.- unimaginative leadership. What works in China is rolled out uniformly across the regions with minimal consideration of cultural differences.- senior leaders often simply puppet figureheads. HR wields disproportionate (yet fearful & unimaginative) power","Verified User Current Employee  a********  Policy Manager - Apr 28, 2022",
2.0,Tough but has good learning opportunities ,- Good worklife balance (depends on your team culture)- A lot of learning opportunities - Tons of high calibre people- Fast paced,- More opportunities for high impact work if you can speak Chinese- Extremely slow career growth- Direction from management very unclear- Lots of burnt out engineers- High turnover- Littl to no raise,"Verified User Current Employee  U*********  Senior Back End Engineer - Apr 28, 2022",
3.0,"Bad work life balance, great projects","The company has great projects to work on, very impactful ","Work life balance is not too good, you are expected to work 12+ hours","Verified User Current Employee  l*****  Software Engineer - Apr 27, 2022",
4.0,No room for growth ,Some very smart people here but they become unmotivated fast,"Lack of transparency, no room for career growth, too many ongoing projects at once without prioritization ","Verified User Current Employee  s********  Product Manager - Apr 27, 2022",
1.0,You can tell this company does not care about its culture. No room for growth. Misalignment everywhere,You can say you worked at TikTok but other than that. It's trash,No growth opportunities especially in GBS. Tons of micromanagement happening,"Verified User Current Employee  i*****  Content Operations Specialist - Apr 27, 2022",
3.0,Great place for growth,A lot of anatomy.Flat structureAccessible leadersPlenty of learning opportunities ,Work is hard and toughCompensation is averageCulture is not for everyone,"Verified User Current Employee  h*******  Program Manager - Apr 27, 2022",
3.0,Good stepping stone as a new grad,- Learn a lot- TikTok is an exciting product and moves really fast,"- Lots of things are in mandarin (sometimes bots will send critical messages in mandarin), though meetings are always in english if there are any non-mandarin speaker- People outside of my team dont seem super friendly here","Verified User Current Employee  h*********  Software Engineer - Apr 27, 2022",
4.0,A good place to polish resume,"Great opportunity to polish profile, easy to be involved in highly impactful projects.","I don't know where to start but the major issue is that there's no clear growth trajectory and every time a new opportunity comes, leadership prefers to hire someone externally vs promoting employees.","Verified User Current Employee  b****  Marketing Director - Apr 26, 2022",
3.0,Not bad but not great,Y'll learn a lot as it is very fast paced company.,WLB is not great. There is a lack of transparency.,"Verified User Current Employee  p*****  Software Analyst - Apr 26, 2022",
3.0,Poor WLB but Full of learning opportunities and reasonable work scope for new hires,"A lot of opportunities where you either can lead projects with reasonable scope. Compared with FB or G, at least it's easier to get opportunities of high visibility projects. And also it's a result of short hands. Not sure whether this advantages will last long with current growth speed. ","Very obviously the 996 culture and the toxic culture are big cons of the company. With cheaper labor costs in China, Chinese employees are willing to get overtime due to fierce competition locally and not so good economy in China now. Even though Chinese government has policies to prevent big tech from demanding overtime but it doesn't help a lot. As a result, overseas employees either work overtime to keep pace with them or get scope narrowed down since the delivery speed are not that good compared with that in Beijing (but still good enough if compared in US). ","Verified User Current Employee  s*****  Software Engineer - Apr 25, 2022",
