Rating,Description,Pros,Cons,Author Info,Resignation Reason
2.0,"Great company for Blue badge employees, pathetic for red badge employees","For blue badge employees there's all kind of benefits, starting from money, medical benefits, work from home expenses, bonuses, training, etc For red badge, the only benefit I see is the type of work (only applicable for TAC). There is no difference of the kind of work between red badge and blue badge. Both do the same type of jobI will recommend to join only as a blue badge employee because there is no guarantee you will get converted from red badge to blue badge",I would run out of words with the number of challenges there is for blue badge employees -no investment- no training - no salary hike - no more conversion from red to blue- no proper training for the technology they will hire,"Verified User Former Employee  d*********  Support Engineer - Apr 20, 2022",-no investment- no training - no salary hike - no more conversion from red to blue- no proper training for the technology they will hire
4.0,You can do as little as you like. ,Many teams with rapidly changing leadership and goals - you'll be able to set your own pace of work. Good benefitsRelatively stable workplace. Customers are still loyal. Even negative growth is still a lot of revenue. Some good managers out there but they are usually too overloaded to actually manage their people. ,Mission goals are large. Resources are small. Or - just don't let the bu dissolve….. cx can care about the customer.  More focus on leadership meeting okrs than the okrs helping Cisco or customers. Your worth is tied to how much legacy leaders care. Triplicate teams for most things that don't communicate. Bu goals are very specific. Not Cisco wide,"Verified User Current Employee  C********  Product Manager - May 6, 2022",
4.0,Great culture and work life balance but slow moving,"Great work/life balance Great cultureEmployees encouraged to pursue lateral movementRemote/ hybrid workBefore covid, lots of team eventsLots of EROs, easy to get engaged",Lots of leadership changes / re-orgsHard to move upCompensation isn't bad but isn't competitiveMost organizations are slow moving,"Verified User Current Employee  e****  Program Manager - May 6, 2022",
4.0,Great work life balance,Great work life balanceStrong leadersGood development opportunities if you're in the right teams,Slow to react to market changesVery conservative approach to in person work post pandemic ,"Verified User Current Employee  F*****  Consultant - May 6, 2022",
3.0,Great work life balance,Work life balanceGood managmentLess pressure from managment,No proper incrementsLess salary compared to other similar companies,"Verified User Current Employee  A*****  Software Engineer - May 5, 2022",
5.0,Great ,Great company and culture. Good to have a chill life ,Less hikes and recognition. Promotion isn't easy and time taking.,"Verified User Current Employee  x**  Network Analyst - May 5, 2022",
3.0,Cisco used to be great. Now management just focusses on brainstorming great ideas but execution is poor. ,Good WLB. Good people culture. Pioneers in networking Can learn (networking) if willing to ,"Bad engineering culture Terrible pay for manager and below Process oriented, so everything moves slow ","Verified User Current Employee  a**  Software Engineer II - May 5, 2022",
4.0,Great if you want to chill for decent pay,Pay is peanuts if you compare it with some of the FAANG companies but pretty good if you're an average engineer who is looking for a good work life balance.,"Incompetent management who is more focused on being diplomatically correctNo sync between product, engineering and sales Sub par pay","Verified User Current Employee  m********  Senior Software Developer - May 4, 2022",
3.0,Depends on the group you are in.. some groups have pretty good career growth. Pay is really good for new hires.,For most part Worklife balance is wonderful and company care about ,Once you are in career is struck unless you have a great leadership team. Comp way off from market for long timers ,"Verified User Current Employee  V*****  Program/Project Manager IV - May 4, 2022",
4.0,It's okay,- Interesting products-nice people-day for me -flexible work hours ,- research process is not implemented - research is more reactive- hard to recruit - management lacks support ,"Verified User Current Employee  R******  UX Researcher - May 3, 2022",
4.0,Overall decent,Good Tech stack to work upon and good work life balance,Low salary compared to competitors and selective stock options for employees,"Verified User Current Employee  A*****  Software Engineer II - May 3, 2022",
5.0,Good work life balance. ,Consistent performance. Reasonable technology compensation but low for a software company. ,Hard to grow into middle management and the technology is not innovating as fast as it once did. ,"Verified User Current Employee  y*******  Account Manager III - May 2, 2022",
5.0,Great experience,"Great team, wlb, management, career growth and compensation - this is team dependent and I definitely lucked out","it's possible to take it too easy and not grow/learn enough or challenge yourself, can be slow paced","Verified User Current Employee  c*****  Software Engineer - May 2, 2022",
3.0,good  career growth,good  work-life   balancegood culture and environment to start ,bad  compensationless perkssalary hike is very negligible ,"Verified User Current Employee  E*****  Network Engineer - May 2, 2022",
4.0,Great people ,Leading brand with broad technologies. Great WLB. Own responsibility. Medium salary with good kickers and overall perks. ,"Heavy admin, lots of silos. Lack of sales data visibility and accuracy of sales tagging. ","Verified User Current Employee  t*****  Services Sales Executive - May 1, 2022",
3.0, Decent company to work for learning ,"Relax culture, and easy going people. Open sourced tools to use","Not sure yet, but feels like a startup on my team but with company politics ","Verified User Current Employee  a*****  DevOps Engineer - May 1, 2022",
4.0,"Big promises, little growth opportunity.","Company name recognition, a good entry level point for initial training. ",TAC is underpaid and overworked. Top performers are leaving and the brain drain is real.,"Verified User Current Employee  e*****  Technical Consulting Engineer - Apr 30, 2022",
4.0,Good products and WLB,"Good base with network infrastructure, many teams and strong sales organization, many partners","Challenges to compete with the SaaS industry and providers, challenges to keep up with product development","Verified User Former Employee  J*******  Product Manager - Apr 30, 2022","Did not leave the company. Hence, here are no reasons."
4.0,Good work life balance,"This review is for Cisco Meraki, lots of smart people here, lots of coordinations across teams with a decent compensation.","Career growth is unclear mostly, lots of chats that gets very verbose every time, not much of feature work and a lot of complex legacy code maintenance.","Verified User Current Employee  b*********  Engineering Technical Lead - Apr 30, 2022",
4.0,Great work life balance ,"Good wlb, easy job, can coast with it being really easy. ","Boring products, little RS, not much of a positive culture ","Verified User Current Employee  o****  Produce Manager - Apr 30, 2022",
4.0,Great work life balance depends on team you are on. ,Work life balanceAverage compensation according to market standardsNice company culture ,Not very much interesting work at some BUs.Chaos during attrition times.Higher management need to proactively decide what is going to be next for engineers.Missing help from other counter part teams.Internal movement not possible if you are in same BU,"Verified User Current Employee  m*********  Software Engineer IV - Apr 29, 2022",
4.0,"Great work-life balance but promos are slow, raises are rare and mgmt changes frequently","Excellent benefits: time off, volunteer days, holidays and an extra day for me or a quarterly day off where the company shuts down. Year end shut-down is awesome If you have an emergency - unlimited critical time offCulture - it's supportive, lots of measures to ensure your manager is engaged Reinventing in Saas via acquisitions - not the stale hardware company under Chambers anymore New CFO seems to have a good handle on things - not seeing layoffs - sick that we use to do that so often!","Very difficult in some BU's to move up or see any meaningful raise. They are reducing bonuses a bit for non-sales folks and adding that % back into our base salary in Q1 - It may backfire and disincentive indiv performance since it's based on 1/2 Cisco and 1/2 indiv. TBD! Hoping this move isn't in lieu of increases - people leave over comp, not the company! Consistently under market rate on base salary. Took a long time for them to recognize Seattle and New York City are expensive metro areas as an example. With inflation, Cisco will keep getting behind on this and loose ppl. They need to react quicker. Lots of leaders leaving - their changes are put on the back burner and we hear very little on where things stand. ","Verified User Current Employee  A********  HR Associate - Apr 29, 2022",
3.0,Great work life balance but slow,"Work life balance, benefits, a lot of PTO and days off","Slow moving, politics, not a lot of room for growth","Verified User Current Employee  r****  Data Analyst - Apr 29, 2022",
4.0,Great work life balance,Great Work life balance and opportunity for growth as well,Very unfair management and partial in benefits and compensations. Growth without comp,"Verified User Current Employee  i*****  Manager - Applications Development - Apr 27, 2022",
5.0,Great work life balance,"Company culture, great work life balance , amazing leaders that want to work with you ","Compensation, although they are making changes to make it better ","Verified User Current Employee  j*****  Technical Program Manager - Apr 26, 2022",
3.0,"Slow paced, more like a retirement company ",1.The work is good at few places.2.Some teams are really good when it comes to work culture.3. You won't have much work pressure.,1. The tech stack sometimes are very deprecated.2. The pay sucks.,"Verified User Current Employee  v*****  Software Developer II - Apr 24, 2022",
5.0,Good work life balance,1) Good work life balance2) Good learning opportunities3) Good benefits,1) Salary / compensation review not very consistent every year,"Verified User Current Employee  c*****  Software Engineer - Apr 23, 2022",
4.0,"Good WLB, poor work",You have enough time to explore things outside of work.People are friendly.,Low quality of work.Mostly filled with old employees.,"Verified User Current Employee  b***  Software Engineer - Apr 23, 2022",
5.0,Great work life balance ,Good team. No politics in my team.Management is good.,Growth is very less.Learning is very less.Hike/promotion is very less.,"Verified User Current Employee  s********  Software Engineer - Apr 22, 2022",
4.0,Good learning path and growth opportunities,Work life balanceLearning path and Growth opportunitiesManagement good,Compensation is not that highPromo doesn't happen very quickly,"Verified User Current Employee  m*********  Software QA Engineer I - Apr 22, 2022",
4.0,Good place to work,Great culture and benefits for full time employeesGood company to work for,"Hard to progress when management teams are constantly changingPay is lower than Google, Apple, etc.","Verified User Current Employee  t****  Engineer - Apr 22, 2022",
3.0,Run away,Good work life balancePretty easy to coastEmbracing hybrid work,Massive tech debt that nobody wants to changeVery politicalUnprofessional coworkers are practically encouragedProjects are just coasting and getting milked for money,"Verified User Current Employee  n******  Software Engineer - Apr 22, 2022",
4.0,Great WLB but low compensation,Good WLB. Hybrid /remote working.Depends on BU but mostly friendly colleagues and helpful.,Very little to less scope of growth unless you change the team. Lower package compared to tech industry.Bad culture in terms of 1 round of layoffs every year.,"Verified User Current Employee  a********  Technical Program Manager - Apr 20, 2022",
4.0,(Meraki) Great company with a lot of potential for ownership.,Project OwnershipWork cultureWork life balanceAbility to Climb,CompensationSome teams lack visionAt this point I am being forced to write about cons.,"Verified User Current Employee  T*******  Full Stack Software Engineer - Apr 19, 2022",
4.0,Great wlb,Great work life balance here. Projects are interesting as well. ,"Management sometimes is questionable, but everyone is still very nice. ","Verified User Current Employee  L*********  Software Engineer - Apr 19, 2022",
4.0,After all these years,- great colleagues: sometimes you wonder why they are still around,- comp is now a joke- ELT doges questions about comp- chaos in management ,"Verified User Current Employee  w*****  Software Engineering Manager - Apr 19, 2022",
3.0,Retirement Company,"Great work life balance! Flexible work options - hybrid, remote, onsite.","Limited growth. Lack of transparency in performance review, or no review at all. Lot depends on your manager.","Verified User Current Employee  r*********  Produce Manager - Apr 19, 2022",
4.0,Great work life balance,You have a lot of autonomyWork life balance,The pay is not that greatCareer progression is slowGreat place to coast,"Verified User Current Employee  C*****  Senior Software Engineer - Apr 19, 2022",
4.0,Great work life balance ,Fantastic work life balance General attitude of wanting to collaborate and help one another ,Compensation is not on par with market rate Support depends on management Very bureaucratic ,"Verified User Current Employee  t*********  Project Manager - Apr 19, 2022",
