Rating,Description,Pros,Cons,Author Info,Resignation Reason
2,Tough culture,- Good compensation- Good industry- Interesting projects- Good CEO,"This place will work you to the bone and come performance review time tell you you are ok.60 hour weeks are pretty normal. If you are a hard-working engineer like I am then this won't discourage you. However, the lack of acknowledgment of the work you put in and over-delivering on all of your objectives is very normal at Coinbase. Only about 2 in 10 engineers exceed expectations and a lot of this is based on politics in my experience here.Also if you are looking to join and think the pay equity is a good idea then you have to accept the fact that you can outwork someone by 3x who is doing the bare minimum and they will be compensated in the exact same way as you.","Verified User Current Employee  j*****  Senior Software Engineer - Apr 20, 2022  ",
5,Great place to learn and get paid,Learning and getting paid is amazing. I knew nothing about crypto before,It's demanding and can sometimes feel unorganized but lots of opportunities to fix things!,"Verified User Current Employee  O*****  Product Manager - May 6, 2022  ",
3,Great pay,-great competitive pay for entry level positions -great opportunities for growth,Internal management is a bit chaotic lots of system issues not enough staff currently,"Verified User Current Employee  K*****  Customer Service Representative II - May 5, 2022  ",
3,Lots of growth but terrible WLB,"Lots of growth and independence, remote work, good comp if you can put in 80 hours/week","Terrible work life balance, bad culture, csuite wants 60+ hours for average perf rating","Verified User Current Employee  l*****  Operations Manager I - May 4, 2022  ",
3,"Great coworkers, not so great senior leaders and execs",Good pay4 recharge weeks off per yearAwesome coworkers,Execs under a lot of pressure which trickles downWLB is bad on certain teamsAttrition/burnout not uncommon,"Verified User Current Employee  H*****  Product Manager - Apr 29, 2022  ",
5,Amazing benefits,"Great pay, with a ton of room for career growth",Not a ton of communication between departments which makes it feel like progress is slower than it could be.,"Verified User Current Employee  G*****  Customer Service Agent - Apr 27, 2022  ",
4,"Great compensation, lots of antics",* Great compensation* People are generally nice and approachable,"* DevX is bad* OKRs are the only thing that seem to matter, regardless of work put in* Career growth is very tightly coupled with metrics that don't truly reflect career growth* Fast hiring, seemingly high turn over rate","Verified User Current Employee  s*********  Software Engineer - Apr 27, 2022  ",
5,Talented coworkers and interesting subject,Talented coworkers Interesting subject area and material for learning Great products,No clear path to promotionThey seem to be wanting to become Google,"Verified User Current Employee  b*****  Product Manager I - Apr 27, 2022  ",
5,Good place to build,Lots of opportunity to level up in crypto. People are generally nice and super talented,Growing quickly so issues around scaling and reorganizing. Crypto moved quickly and so does Coinbase,"Verified User Current Employee  x*****  Software Engineer - Apr 25, 2022  ",
5,Exciting,Exciting culture to be a part of building the future of finance. Great perks and nice people,Can feel silo'd and fragmented at times when I started,"Verified User Current Employee  l*****  Product Designer - Apr 25, 2022  ",
