Rating,Description,Pros,Cons,Author Info,Resignation Reason
2.0,"Poor compensation, WLB varies","Broad range of projectsSome nice benefits ($1000 annual wellness subsidy, good vision insurance, frequent happy hours)Some really cool people","Pay is mediocre at bestReputation is not great, people have heard of Deloitte but nobody is impressed by itMany terrible projects out there, some are good but it's hard to find the good onesWLB can be really bad depending on your teamLimited opportunity to learn concrete skillsNot convinced we have a positive impact on the worldOnly join if you like making PowerPoints about boring topics, the entire company runs on PowerPoint","Verified User Current Employee  g*****  Analyst - Business Consulting - May 4, 2022",
4.0,"Bad w/l balance, poor leadership","If you're a top performer, opportunity to get promoted quickly. ",Partner dictates everything. Client is always right. Terrible pay compared to other consulting firms.,"Verified User Current Employee  i*****  Senior Consultant - May 6, 2022",
3.0,Terrible WLB and underpaid,Lots of opportunities to learnSupport from leadership to continue education,Work life balance is pretty badFirm initiatives on top of regular project work,"Verified User Current Employee  K*****  Solutions Specialist - May 6, 2022",
4.0,Great on your resume,Everyone wants to hire a ex-big4Specific timeline for promotion,"Low pay, no work-life balanceWork is probably boring for most people","Verified User Current Employee  Y*****  Audit Senior - May 6, 2022",
4.0,50% Of US workforce currently under 2 years tenure ,"Great benefitsTalented PeopleEasy to transfer internallyRemote firstGood structure Still offers pensionDiverse portfolio of projectsExcellent DEI CommunitiesSeveral disconnects throughout year401K, HSA, FSA commuting allowanceHybrid productivity allowance to set up home officeTravel discountsPerks at Work",Worklife balance -heavily determined by teamDiversity is getting better but room for improvement 360 Feedback rarely influences much changeRisk aversion impedes ability to move fastBoomers at top can impede progress No reward for employees who weathered pandemic & resource shortages ,"Verified User Current Employee  🙈**********  Manager, Marketing - May 5, 2022",
3.0,Should have left sooner,"Good benefits. Felt like we were in it together so many of us kept slogging through. They are paying tons of retention bonuses, base increases, and sti",Could have paid for my MBA in cash (got it sponsored by D) and would have still been ahead if I had left earlier,"Verified User Former Employee  n*********  Manager, Consulting - May 5, 2022","Work on my own company (I guess I have to enter more words than that—so toxic environment, didn't want to be a slave to the system even as a partner, everyone was burnt out, competitive, elitist & bro-ey culture"
3.0,Experience and Learning ,Well organized company policies and processes. Importance to social causes and awareness programs. A decent PTO policy.Multiple projects provide you opportunities to learn and grow. ,No work life balance. Managers expect you to put extra hours. ,"Verified User Current Employee  A***  Consultant - May 4, 2022",
5.0,It's okay,"Good wlb, depends on the team though.Company wants to improve.","Low payThere is some amount of politics, weaker candidate gets paid more. ","Verified User Current Employee  g*****  Software Developer II - May 4, 2022",
4.0,"Good work life balance, if you're good you'll be promoted",Promotion track easy to attain.. pay is fine.. don't have to work that much when remote ,"Management is spineless with clients, promotes a woke culture, projects don't solve interesting problems on avg  ","Verified User Current Employee  m******  Senior Consultant - May 4, 2022",
1.0,Bad culture that scares you instead of motivates you,"-Lots of exposure and experience in diverse industries-opportunities to work with c level and understand how they operate and what they care-free learning resources only if you have time(linkedin learning, udemy, etc)",-bad culture which scares people to overwork instead of motivating them-constant performance reviews which is super subjective depending on the engagement manager that you work with,"Verified User Current Employee  k******  Senior Consultant - May 4, 2022",
