Rating,Description,Pros,Cons,Author Info,Resignation Reason
2,Not ideal for good tech engineers to develop their careers,WLB is better than some other final companies. Trading related teams are hectic.,"- No career path for most engineers. At some points they have to be good at politics and fight for managing director role. For 99% of engineers, VP is the end of their career.- Comp is not good compared to tech industry. No perks.- Company culture is very aggressive. It honors and encourages ppl to be aggressive and sometimes offensive to each other. It is considered a good thing. - Poor management overall. Tech engineers treated as lower level citizen.","Verified User Former Employee q********* Vice President - Applications Development Manager - Apr 28, 2022",No more interests in working here. No future growth.
3,Great people to work with,Challenging work with world class colleagues that allows you to learn from one another,"Struggling businesses, slow innovation, internal hierarchy/politics sometimes difficult to navigate","Verified User Current Employee u***** Vice President - Finance - May 6, 2022",
3,Not a tech company,Great Culture.Can easily move to different team.Good for freshers,Not a tech company. Engineers please stay away.Lots of dependency on NY team. So we have to login till late.,"Verified User Current Employee c********* Software Engineer II - May 5, 2022",
3,Great resume builder,"Great place to start off, learn a lot quickly. Great community and easy way to build your network!",Horrible work life balance. Compensation is quite low and senior management is very out of touch with real life,"Verified User Current Employee Q***** Operation Analyst - May 5, 2022",
5,Very talented people,Good work life balanceYoung sharp mindsGreat benefits and leaves,"I can't find any. If you're in the bottom 5%, be ready to leave the firm.","Verified User Current Employee s******** Vice President - Finance - May 5, 2022",
3,"people are great, management/tech/comp not so much","This company is one of the most diverse finance places I've ever seen, people are all legitimately nice and young. For software dev, you're allowed a lot of flexibility",management is more out of touch than garfunkel and oates. dont do enough to appeal to younger talent or at least appease them. being forced to work on archaic tech that will probs be rebuilt in 5 years but dj d sol does have some bangers,"Verified User Current Employee b***** Associate - Financial Analyst - May 5, 2022",
4,Good place for overall growth,Exposure to real life challenges.Rapid Professional growth.Excellent compensation.,Work life balance. In some teams we don't get enough time for personal life.Some teams work on not so fashioned tech stack.,"Verified User Current Employee s**** Associate Software Developer - May 5, 2022",
3,Meh,"Work with great people (smart, mostly nice)Collaborative Decent compensation (though banking / sales / trading still dwarfs engineering comp, which lags FAANG)","Perpetually understaffing is one of goldman'a main profit drivers. The do more with less attitude is pervasive, leads to high stress, half baked solutions and burnout. If you are looking for purpose outside of a paycheck, most roles at GS are probably not for you.Very limited investment in training / continual employee growth Lots of legacy infra","Verified User Current Employee t***** Vice President - Program Manager - May 5, 2022",
4,Goldman Sachs is a good company overall,Work life balance depends on team.Hyderabad Office is good .,Career growth Monotonous workLate night callsApart from work no activities or fun can expect.,"Verified User Current Employee g***** Associate Software Developer - May 5, 2022",
3,"Good brand name, bad dev experience","GS is a big name, and will generally look good on a resume. My WLB is ok, but will vary from team to team. The bonus can be good depending on the year.","Very frustrating dev experience. You are forced to use a sea of internal technologies, many of which are not great quality and are overly convoluted to work with, and are poorly documented. Too much important info only lives in people's heads. As an engineer I don't feel like I'm learning much in my role.I occasionally pull long hours, and many teams have a support rota with long shifts including weekends.They are also trying very hard to get everyone back into the office, whether it makes sense for your situation or not.","Verified User Current Employee G********* Analyst Software Engineer - May 5, 2022",
