Rating,Description,Pros,Cons,Author Info,Resignation Reason
3,Very political,"great WLB, pay, massive scale and very smart people (not all)",+very political+it's really about who likes you not really about the quality of your work,"Verified User Current Employee s***** Senior Director, Sales Strategy and Operations - May 6, 2022",
5,Comp is meh but I love it here for other reasons,"Lots of funImpactful (if you work on a product like Search or YouTube, you are impacting billions of people around the world)Good foodFun events",Comp is not competitive after you have been there a few yearsDon't feel appreciatedIt's a big company so scandals are bound to happen here and there,"Verified User Current Employee m**** Software Engineer - May 6, 2022",
4,not the old google,still see some pockets of innovative thinking here and there,"becoming a new ibm, looks like its past its prime","Verified User Current Employee A***** Software Engineer - May 6, 2022",
5,Excellent work life balance and good compensation,Work life balanceCompensation is decentFood is good and,Bunch of liberals always complaining about one thing or another.,"Verified User Current Employee E***** Software Analyst - May 6, 2022",
5,Great place to work,Still an innovative company with good work life balance and passionate leadership.,Comp and other benefits are starting to be less competitive,"Verified User Current Employee R***** Software Engineer - May 6, 2022",
5,Great work life balance but less opportunity to promote quickly,"Great work life balance, interesting problem to deal with, free to try ideas, nice coworkers and managers","Less opportunities for quick promo, it's hard to find some high impact projects","Verified User Current Employee Y***** Senior Software Developer - May 6, 2022",
5,First couple weeks,All going well so far. Not a ton of time here so I can't review the best,Team is based in SF while I'm in NY; I hate remote work so that aspect sucks,"Verified User Current Employee E********* Software Engineer - May 6, 2022",
5,Good work life balance,"Interesting work, smart peers, good impact. Satisfying to work here",Bureaucracy. Challenging to navigate. Constant shift in org structure lines,"Verified User Current Employee m**** Product Manager IV - May 6, 2022",
5,Experience at scale,Latest tech from the first hand. Experience to work at mega-large scale.,The compensation is average in industry.Teams leaking. The satisfaction depends on how lucky you are with a team.,"Verified User Current Employee r***** Site Reliability Engineer II - May 6, 2022",
5,Great work life balance,"Great infrastructure to build and manage systems at scale, strong culture and wlb.","Comp is not competitive anymore compared to other companies, slow career growth.","Verified User Current Employee g******* Software Engineer - May 6, 2022",
5,Best company I've worked for,"Great products, smart coworkers and excellent perks. Get a lot of respect from friends and family",Getting big and slow. Hard to ship stuff sometimes. Entitled coworkers,"Verified User Former Employee d**** Engineering Manager - May 5, 2022",Had a good run. Just wanted to try something new
5,Great benefits,"Benefits, wlb, fancy from outside, great talent , cool place to work","Promo is not great, bad managers , lots of documentation","Verified User Current Employee b******** Program Manager III - May 5, 2022",
4,It's been a good place for me,"Super competent colleagues, memegen, food and massages, travel to different offices around the world, internal mobility","It's a giant corporation, the most fun days are behind us at Google I fear. Becoming more conventional. In","Verified User Current Employee L** Senior UX Researcher - May 5, 2022",
5,Learn a lot about operational excellence,Learn from the sharpest minds about best practices and code style,There's a lot of red tape and bureaucratic guidelines for everything,"Verified User Current Employee r***** Software Engineer II - May 5, 2022",
5,Great work life balance,"Great culture, perks, mentor programs, many good internal tooling and interesting frameworks","Comp seems to be no longer very competitive, current high head count growth rate introducing growth pain, high director level churn rate","Verified User Current Employee Q****** Software Engineer - May 5, 2022",
5,WLB has been good.,The Work life balance is great.Smart people around you.,Larger ramping up time because most of the tools are in house.,"Verified User Current Employee A***** Software Engineer - May 5, 2022",
4,Great work life balance,Great work life balance and benefits. The pay is really good for my location even though it's not increasing as much as in the US,Culture and compensation keep getting worse every year. Leadership seems really missing,"Verified User Current Employee O***** Senior Software Engineer - May 5, 2022",
5,Great work life balance,Great set of infrastructures to power whatever you need to achieve.,Very little space/opportunity to make a large impact to get promoted.,"Verified User Current Employee y***** Senior Software Engineer - May 5, 2022",
4,"Don't fall for the hype, its good but nothing more.","Great culture, helpful people. Free food and good benefits for employees.","Slow promo for some, faster for others. Depends a lot on the team and poltics.","Verified User Current Employee b******** Software Engineer - May 5, 2022",
5,Great work life balance,Good mentorship for newcomers. A lot of opportunity to explore. The toolings are great,Slow promo; A very big org; Too big to navigate,"Verified User Current Employee l******** Software Engineer - May 5, 2022",
5,Lot of hard problems to solve and learn from,Lots of problems at scale to learn from gives good experience,Some technology is internal to Google so it is not helpful,"Verified User Current Employee 3***** Software Manager - May 5, 2022",
