Rating,Description,Pros,Cons,Author Info,Resignation Reason
2,Great people,You will be surrounded by some smart and resourceful engineers,"Compensation is poor, and good managers are few in between","Verified User Current Employee k****** Senior Engineer - Apr 27, 2022",
3,"Good work life balance, low compensation for size but medium for industry, great people, good growth.","People are friendly and long term employees are knowledgeable.Decent but not spectacular benefits.Compensation is just above median for industry, so low for a fortune 50 company.Great resources for personal development.Well known so good for resume.",Tech is a bit dated.Annual raises are below inflation.Compensation is decent but low for size.Markham lab is a bit of a commute from Toronto.,"Verified User Current Employee E***** Software Developer I - May 6, 2022",
3,Depends on what you want,"Nice people. WLB factors into and offsets the low compensation, making it valuable for people who value time over money.","Seen a lack of critical thinking breeding: designs are done by senior people and everyone else is expected to execute that without getting to feel like their voice and brain matters, or develop thinking like an engineer. Hence slow career growth.","Verified User Current Employee O***** Software Engineer - May 5, 2022",
4,"Great work life balance, chance to grow for peanuts","Great Work life balanceChance to grow ur skills if u decide to do so. No one pushes u to learn new skills. Using great work life balance, get skillets under ur belt.","U get peanuts for compensation. No rsu, no bonus, nothinf","Verified User Current Employee s********* Software Engineer - May 5, 2022",
4,Experience is dependent on org,"Lots of ownership, willing and helpful coworkers, great WLB.",Higher directives don't always align with small org's goals.,"Verified User Current Employee z**** Software Engineer - May 3, 2022",
4,Good WLB but salary hike could be better,"Work-life balance is greatThe culture is generally friendly and collaborativeThe internal learning platform (YL) is a real treasureGood benefits (car allowance, health insurance)Hybrid working model","Unrealistic quarterly revenue quotasStrict guidelines limiting working from abroad Very limited PTO in my geoSalary hike didn't match inflationNo company events/trips, no welcome kits or gifts on special days.. Lacking in small things that make employees happy","Verified User Current Employee A****** Sales Development Representative - May 3, 2022",
3,WLB is really the only thing keeping me here… for now.,"I'm fully remote, so I come and go as I please. I like my team and manager a lot. The work is somewhat interesting depending on the team, but the compensation is not great. It's definitely not horrible, but compared to other companies, I could easily double even triple my total compensation. I'm still here because I'm comfortable, but I am always in the market and plan on leaving within the next 6 months.",Compensation + benefits is lacking.Promotion and raises are nothing to brag about either.,"Verified User Current Employee g***** Software Engineer - May 2, 2022",
3,Good for stability but not for growth,Good work life balance. People take PTOs on their own. This is good specially during the covid.,Bad salary and benefits plans. Most of the people are paid below standard and ibm is a pseudo product company.,"Verified User Current Employee m***** Software Applications Engineer II - May 2, 2022",
3,Good work life,Good work atmosphere Better exposure Good for Freshers in early stage of career,Less salaryLearning curveLeas progress Less technology specific to development,"Verified User Current Employee n********* Associate Software Engineer - May 2, 2022",
3,Interesting work but low TC,Interesting and challenging projectsFlexible schedulesGood peopleDecent benefits,Low TCNot enough people Limited growth options at B9,"Verified User Current Employee T***** Security Engineer - Apr 30, 2022",
