Rating,Description,Pros,Cons,Author Info,Resignation Reason
2,Wlb used to be good but not anymore because of lot of people leaving,They have increased Base pay quite significantly but it still lags inflation and col in the area where job is located,Over all CompensationToxic 1st level mgmtHuge downturn possible with competition being very strong.Wlb degrading bec of attritionCafeteria food is very costly and they're enforcing hybrid work.,"Verified User Current Employee m******** Hardware Developer III - May 3, 2022",
3,Rolling downhill,Good work life balance and benefits like sabatical and paternity leave.,Lack of vision and direction from management. Poor compensation for continuing employees.,"Verified User Current Employee _******** Component Design Engineer - May 5, 2022",
4,Great work life balance with competitive instate pay,Good place to start but limited upward trajectory due to heavy middle and upper tail weights within the organization. You are either less than 5 years in or more than 15-20 years in. Nothing in-between because of the growth wall.Good education benefits with a good WLB given the compensation.,Slow growth for your career depending on your team. You need to go above and beyond to coach your first level managers.,"Verified User Current Employee C***** Technical Program Manager - May 4, 2022",
4,"Great for mid/late career, not early","Work-life balance was great. 8-5, you can clock in and clock out no problem. I was on a younger team, so I got to do a lot of creative work. Also fully remote, permanently. Pay was somewhat competitive.","Being on a younger team had its downsides. Less organized, and felt like we were putting out a lot of fires all the time.","Verified User Former Employee j******** Software Engineer - May 3, 2022",Another opportunity with better compensation came up. I couldn’t pass it up.
4,Good for growth,Great job stability is here for those looking for it.,Many mismanagement over the years causing the company to go downhill.,"Verified User Current Employee J***** Component Design Engineer - May 3, 2022",
4,"It's an ocean, you decide to swim up or down stream","Great people, always willing to teach and learn. If you work hard, not many things stand in your way to glory. Infinite options to challenge yourself if you like to build computers. Very easy to move between teams and techologies if you work in software.","Well program management is not always up to the mark. You won't have everything handed to you in documents. You can't just code and go to sleep. You have to solve challenging management problems. If you get caught in a team with bad work culture, you are screwed. But moving within the company is super easy, but you have to pay the price wrt career growth.","Verified User Current Employee K********* Software Engineer - May 3, 2022",
4,Great WLB. Mediocre management and tribal culture,Internal transfers are relatively easy and the company is supportive of WLB. It's possible to find a niche where you can enjoy yourself if you look hard enough.,Management is mediocre. Promotions are frequently based on seniority so all you have to do is stick around. Many positions are there as legacy roles which could be automated if someone tried hard enough to shake things up. Easy to find cushy roles with not a lot to do if you're not looking for career growth. High growth roles exist but you have to be willing to go through seniority chain.,"Verified User Current Employee p***** PTD Module and Integration Device Yield Engineer - May 2, 2022",
4,Great work life balance,Good WLB. Nice colleague. Benefit is good in terms of taking care of employees,Poor growth and company outlook. Average compensation. Need better incentive structures.,"Verified User Current Employee Y******* Process Engineer - May 1, 2022",
3,great company culture,various technologies and great people to learn different stuff and projects,management don't manage well and need to manage people better,"Verified User Current Employee W***** Software Applications Engineer - Apr 30, 2022",
4,Great work life balance,It's a very good company if you want to settle.,So many meetings makes work less productive.Less comp compared to competitors.,"Verified User Current Employee v**** Validation Engineer - Apr 30, 2022",
5,Amazing Company to Work for,Lots of cool problems to solve. Get to learn a lot.,"Lots of meetings, some at strange times. Stock grants are somewhat conservative and don’t appreciate much.","Verified User Current Employee W***** Software Engineer - Apr 28, 2022",
4,I'm in a good project with a good manager and team members,"Good ceoIf you are a superstar, they look after youSabbaticals",Big meetingsBeaurocracy an politicsSome areas are top heavy,"Verified User Current Employee p****** SoC Design Engineer - Apr 28, 2022",
4,Great work life balance,Good WLB. Great learning opportunities.Very friendly people. Pleanty of paid leaves.,"Pay is not competitive.Too many useless meetings.Learning curve is huge as there is little to no docs.Intel Contract Employee (ICE) hiring is a scam to get people to work for for cheap salary which is fixed and no hikes or bonuses , but have to do the same work as other blue badge employees.","Verified User Current Employee o***** Hardware Engineer - Apr 28, 2022",
4,Supporting culture and good WLB,Great work life balance.Good culture.Supportive management.Good benefits.,Slow career growth.Frequent change in project direction.Compensation is not great.,"Verified User Current Employee u****** Software Engineer - Apr 27, 2022",
3,Good work life balance,Good work life balance Provides LinkedIn learning for staffMangers can off full time work from home,Unclear on future of remote work Pay is not competitive Managers cannot do much to increase headcount or pay,"Verified User Current Employee d******* Machine Learning Engineer - Apr 27, 2022",
3,Great work life balance,Good learning environment Excellent work life balanceHelpful team mates,Stale when it comes to inter group discussions Too many politics which lead to defensive approach,"Verified User Current Employee C**** Hardware Design Engineer - Apr 27, 2022",
3,Good for work life. Difficult to grow in Intern position,Work life balance. Good health benefits. Time off. If manager is good then life becomes easy.,Compensation. Learning new things. Too many teams to understand the product.,"Verified User Current Employee E***** Post Silicon Validation Engineer - Apr 27, 2022",
4,"Great WLB, good growth if you’re in the right team",Good WLBGreat managers (at least the ones I’ve worked with)Supportive co workers and non toxic cultureChoice to create opportunities for yourselfInternal moving is easyCompensation is good if not the best,Some job roles can be too repetitivePace could be slow depending on your orgPedantic culture in some orgsCompensation can be better,"Verified User Current Employee h***** Thermal Engineer - Apr 27, 2022",
4,Good first step,Good company to start your career at and lots of options for mobility,"You need to be in charge of your own growth, seek opportunities, and find mentors","Verified User Current Employee a***** Supply Chain Analyst - Apr 26, 2022",
2,Very inefficient,There are a lot hard working engineers. Support team supports on weekends.,Very inefficient. So many meetings with redundancy without coming to any decision. Okay,"Verified User Current Employee Y***** Mobile Developer - Apr 26, 2022",
5,"Good work life balance, good changes with new management",Work life balance is niceNew management is making good changes in compensation,Compensation is still low compared to it's peersCareer growth is slow in some groups.,"Verified User Current Employee g***** Software Engineer - Apr 26, 2022",
4,Good WLB and interesting problems to solve.,"Interesting problems.to work with and top tier relationships with getting support, new features and bugs fixed from 3rd parties.","While some projects used current technologies, the nature of the age of the company comes with some painful legacy technologies to maintain.","Verified User Current Employee h***** Software Engineer - Apr 25, 2022",
3,Mediocre,Good work life balance. Amazing people and good benefits.,Not much growth in career. Company doesn't have much innovation compared to other big players.,"Verified User Current Employee j********* Software Engineer - Apr 25, 2022",
5,Interesting work,Lots of work to dip a toe into. Plenty of bright coworkers. And the company is huge. The pay is good.,Can actually feel a bit lonely and isolating at times. Most are either wfh or in a different state. No clear future skill set to aim for. You’ve got to make noise to be heard.,"Verified User Current Employee P***** Software Engineer - Apr 25, 2022",
4,"Great work life balance, not so innovative!",Great work life balanceGood and flexible work environmentGood compensation,Buying random startupsLess innovative spiritStock never growsNo so efficient execution,"Verified User Current Employee m******* Security Researcher - Apr 25, 2022",
4,Great work life balance,Itll be dependent on group and manager but I had a very nice work like balance.,Growth was cancelled due to lack of hustle but this could be overcome if you have an innovative personality.,"Verified User Current Employee t****** FPGA Design Engineer - Apr 23, 2022",
3,Overly run by contractors,Learning the semi conductor abbreviations for everything and using them to converse with another co worker,No real structure of position structures and pay scalesAs a worker bee you could be overseeing double digit contractors but no manager title and pay behind the positionRevolving circles of C level IT managementTo much importance to users who can escalate in a moments notice to a Senior Director type,"Verified User Current Employee x***** Lab Manager - Apr 22, 2022",
