Rating,Description,Pros,Cons,Author Info,Resignation Reason
2.0,,Wlb because we are a tax company pretending to be a tech company.That's really it,Compensation is not competitive.Ambiguous policy and future in regards to remote work.Purely evil capitalistic hellhole.I wake up every day loathing this company and how many times it's been sued for duping low income taxpayers.,"Verified User Current Employee  R*****  Software Engineer - May 5, 2022",
5.0,WLB and great values!,- Great WLB- Great benefits- Decent comp- Cares for you,"None at the moment, will update when I see some","Verified User Current Employee  X*****  Software Engineer II - May 6, 2022",
4.0,Pretty great,Pretty good work life balance. Culture seems different depending on who you talk to but on average it's pretty positive in my opinion.  ,Depending on who you're working with or what team you might be on you may experience negative wlb or culture fit.  Move teams If that's the case.,"Verified User Current Employee  I*****  Software Engineer - May 5, 2022",
3.0,People are treated with respect,The company's mission to power prosperity around the world resonates with many,Too much politics. It is all about relationships and not about your work.,"Verified User Current Employee  s*****  Business Operations Manager - May 5, 2022",
4.0,Good work life balance,Good work-life balancegood benefits for full time employeesInteresting tech,"Kind of political, too much time spent making sure credit was given to our teamManagement lacks transparency Multicultural team had lots of simple communication issues","Verified User Current Employee  h*********  Software Engineer I - May 5, 2022",
4.0,Great opportunities to grow but manager can't support,"- Generally, good WLB- Most people are nice- Given opportunities to grow and get promoted",- Non-technical managers in technical roles- High attrition- Some teammates are not up to standard,"Verified User Current Employee  q*****  Technical Program Manager - May 3, 2022",
5.0,"Great work life balance, perks and benefits","Good tech stack to work, learn and explore in the infrastructure space.Frequent hackathon weeks to focus on innovationExcellent perks and benefits",Management is sometimes clueless how and if they want to steer the org towards adopting new technology and automation,"Verified User Current Employee  s********  Staff Applications Engineer - May 3, 2022",
3.0,Good work life balance,The company has good benefits program and good work life balance.,The company has very few good leaders and needs more of them.,"Verified User Current Employee  r*****  Senior Software Engineer - May 2, 2022",
4.0,"If you want great WLB, nothing can beat Intuit",- Great WLB- People see each other as people.- Engineers have lot more say- Career growth prospects are great,- Not great compensation- Pace lower than FAANG- Complexity and scale is also lower than FAANG.,"Verified User Current Employee  P*****  Staff Software Engineer - May 2, 2022",
4.0,It's a great place to work,"My team is really great, everyone is supportive and resourceful ",Just joined for 4 months. Everything is good for now ,"Verified User Current Employee  Z******  Product Designer - May 1, 2022",
3.0,Friendly Company,"Good work environment, nice people, pretty good work-life balance, and good mentorship.","relatively low compensation, doesn't have many exciting things going on because their products do not have too many competitors.","Verified User Current Employee  S*****  Software Engineer - May 1, 2022",
4.0,Employee centric ,Good tech stack and employee friendly benefits. Nice wellness benifits,Lots of meetings and people focus on showcasing more are moved up the ladder faster,"Verified User Current Employee  V*****  Senior Software Engineer - May 1, 2022",
4.0,"Great WLB. Not an engineer first culture, you have to constantly talk about your accomplishments to stand out.","Great WLB. I've never been forced to work after 5 or weekends. Great 401k, perks and wfh setup help.","Not an engineer for the culture. Middle management needs cleanup. They don't have too much knowledge on technical aspects, so you to stand up for your work and make sure you get credit for it. Pay isn't close to what top companies pay for tech talent. ","Verified User Current Employee  M********  Mobile Developer - Apr 30, 2022",
5.0,Great work life balance ,"Customers centric culture, great design community and innovative catalyst growth",Almost impossible to get a promotion if you're not working in the Core team,"Verified User Current Employee  L********  UX Designer II - Apr 30, 2022",
3.0,Average company with poor compensation ,Good culture overallGood perksHybrid work option Good location ,Horrible promotion processComplex processesDoes not pay wellLow base,"Verified User Current Employee  a*****  Software Developer III - Apr 29, 2022",
5.0,Good people and WLB,Joined during pandemic and people are helpful and responsive. WLB is great ,Lack of strong ecosystem approach with different products experiences disintegrated vs coherent ,"Verified User Current Employee  C*******  Senior UX Researcher - Apr 29, 2022",
3.0,Long time employee - It's not what it used to be and it's getting worse...,"- Stability- Smart and motivated people- Name recognition- Comp, benefits, and perks","- Work-life balance is horrible as me and my team regularly work 50-60 hours a week- Processes are atrocious (e.g., Unified Planning is a nightmare across the company)- Vaccine mandates are ridiculous... no consideration for natural immunity, endemic stage, etc.- Cross-functional team disfunction and friction drains well-being and makes work suck","Verified User Current Employee  M********  Group Product Manager - Apr 27, 2022",
4.0,"Overall, good experience with some small adjustments needed. ","-Great management, good company culture, and lots of learning opportunities. ",Compensation is lower compared to other countries with similar positions. ,"Verified User Current Employee  j****  Research Analyst - Apr 27, 2022",
3.0,Politics and personal grudges,"Great benefits, rewards and health benefits Work life balanceNo other pros",- no growth- bad politics due to which employees suffer,"Verified User Current Employee  b******  Business Analyst - Apr 27, 2022",
4.0,Good benefits,"Great benefits and pay, especially compared to others in the same field","Some teams can be pretty terribly managed, gets to be a bureaucratic mess sometimes","Verified User Current Employee  w******  Software Engineer - Apr 27, 2022",
2.0,Okayish WLB,"The benefits are very very good here, best in industry","Work is not challenging enough, and people say things like politics, idk","Verified User Current Employee  K*****  Software Applications Engineer III - Apr 26, 2022",
4.0,Loving it so far ,"Loving it so far. People are nice, there's lot of focus on career development and good wlb",Nothing specific at the moment but yes Company can improve on RSUs allocation. ,"Verified User Current Employee  f*****  Engineer - Apr 25, 2022",
4.0,Great place to work,Great culture and perks and benefitsGood wlbGreat peers,Too many re orgsLearning becomes stagnant after some time.,"Verified User Current Employee  p*****  Software Engineer I - Apr 24, 2022",
2.0,Intuit's culture is changing ,"Benefits, most people are great to work with, fitness center. ","Increasingly woke culture, they say to bring your whole self to work, but you have to be vaccinated ( no other options allowed). Not a good fit if you are conservative.  ","Verified User Current Employee  W*****  Executive Assistant - Apr 23, 2022",
