Rating,Description,Pros,Cons,Author Info,Resignation Reason
3,Performance review driven culture,"Great benefits. Emphasizes supporting people in their growth, which is true. It's a culture that values craft, excellence, and making things. Very metrics and performance driven.","Very performance and metrics driven, which produces incrementalism in ideas and goals. Everyone is gunning to hit metrics, so they get a good review. This behavior drives many aspects of working at Meta. Financial trajectory of the company is questionable, softening user growth and ads business, and betting the farm on vr/metaverse.","Verified User  Current Employee   a***   Design Director - May 6, 2022 ",
4,You know what you're getting,"Autonomy, teams are set up to create a collaborative interesting environment, healthy wlb, you can find problems you find interesting ","Lots of top down work, things move slower than you'd hope ","Verified User  Current Employee   l*****   Data Scientist, Analytics - May 6, 2022 ",
4,Treats employees well,- benefits are great- people are inclusive- compensation is good for UXR,- not as fulfilling if you care about positive social impact- strong emphasis on performance and impact,"Verified User  Current Employee   i*****   UX Researcher - May 6, 2022 ",
5,Will push you to be better,Incredibly smart people and culture to work with every day,"Lots of changes and leadership movement , lots of negative press","Verified User  Current Employee   W*****   Product Marketing Associate - May 6, 2022 ",
5,A decent place,People and leadership are pretty decentComp and benefits are great,Social media company so that explains it. Lots of bad press,"Verified User  Current Employee   G*****   Recruiter - May 6, 2022 ",
2,Neverending grind,"Pay is good, though not the top of the market anymoreFood if you work at the office","The company is notorious for horrible wlb. People work long hours and weekends. Insanely heavy and stressful performance review process, your whole work revolves around what you will put on you self review at the end of the cycle. Everybody is trying to lead and show direction, teamwork is discouraged because it's not good for your review. Very high expectations, engineers are expected to do everything including project management (the company does not have dedicated project managers). ","Verified User  Current Employee   L********   Software Engineer - May 6, 2022 ",
4,You get what you put in,"* Breakfast, lunch, dinner* Good comp* You pick your own teams",* Budget cuts recently have impacted morale.* Politics can affect the company staff a lot.,"Verified User  Current Employee   d*****   Senior Software Engineer - Android - May 6, 2022 ",
4,Things feel a little forced now,"Nice people, big scale, lots of freedom as Eng, great health benefits, lax policies about PTO (ime)","Feels like we grew too much recently — scope wars, building random features nobody is asking for to try and move a green bar A lot of work feels very contrived and put behind corporate talk — also, promotions / psc leads to weird incentives for people ","Verified User  Current Employee   d*****   Software Engineer - May 6, 2022 ",
3,Toxic environment,Compensation Carrera growth. If you are willing to work twelve hours,Toxic people Environment forces you to be mean and egotistic with others Wlb,"Verified User  Current Employee   P*****   Data Analyst - May 6, 2022 ",
5,Great work life,Great work life balance and good management Nice company culture,Hard being a contractor as there is less of a job security A lot of rumors surrounding hiring freeze,"Verified User  Current Employee   t*********   Recruiter - May 5, 2022 ",
4,Not as bad as I expected,Good payGood perks & benefitsGood experience w my own managersChallenging workGood internal toolsGood people,Very demandingFast pacedFriction between functionsSocial mediaConstant change,"Verified User  Current Employee   I*****   Designer - May 5, 2022 ",
4,Very impact focused,Good compSolid benefitsFocus on impact makes achievements tangible.,Impact is visibility-focusedmoving back to a hybrid work model,"Verified User  Current Employee   l*****   Software Engineer - May 5, 2022 ",
3,Great WLB depends on which team,"Great WLB and benefits including insurance, 401k, life benefits, etc. ","politics, too ambitious project and tipping-toes around the execution plan","Verified User  Former Employee   o*****   Hardware Engineer Manager - May 5, 2022 ","unnecessary politic, and performance review process, worsening the team-works. "
4,Technical Recruiter,Meta offers a uniquely collaborative environment regardless of level. It's nice to experience.,Your entry offer might be an experience of being under leveled.,"Verified User  Current Employee   M********   Technical Recruiter - May 5, 2022 ",
3,Great WLB and perks; leadership is not good,WLB is fantasticcompensation is good across the boardPerks are amazingFoodTools,Bad company leadershipLack of directionConstant reorgs Poor career developmentToo much politics,"Verified User  Current Employee   a******   Product Marketing Manager - May 5, 2022 ",
5,Best company I have worked,Worked at Amazon Microsoft and Meta. This is the best,"Stocks are tanking. Even though company's doing great, peoples perception is taking a toll","Verified User  Current Employee   V*****   Software Engineer - May 5, 2022 ",
4,Great work life balance,Great work life balance and market rate pay with amazing benefits,Reactionary vs. proactive in terms of big decisions that effect the employees negatively,"Verified User  Current Employee   G*****   Talent Sourcer - May 5, 2022 ",
4," Good salary and perks, slow career growrh ","Good salary and perks, you're generally treated with respect by all","Work-life balance is not great, even if managers are always preaching otherwise. People are generally nice but middle management is incentivised to keep everyone on edge which can often bring up bad traits im colleagues and unnecessary conflict. Facebook is basically Google 8 years ago with bureocracy and politics","Verified User  Current Employee   S*********   Product Solutions Manager - May 5, 2022 ",
4,Seems like a great place so far - UK,Good benefitsFlexible work arrangements Good remote benefits Autonomy Nice people,Chaotic place to be in- there is not a lot of organisation,"Verified User  Current Employee   M********   UX Researcher - May 5, 2022 ",
5," Weak WLB, burnt out but experiences accelerated my growth ",You have a ton of autonomy and ways to make impact and find new opportunities,Move fast culture can lead to burn out People are competitive and that can lead to toxic work environment,"Verified User  Current Employee   u*****   Technical Program Manager - May 5, 2022 ",
4,Great work experience and autonomy,International exposure through various projects and the ability to work together with people across the globe.,"Corporate and your career can be dictated by the quality of your boss. If you're under someone poor or don't know what they are doing, it's hard and a waste of time.","Verified User  Current Employee   e*****   Sales - May 4, 2022 ",
4,Good work life benefits and overall for pay in recruiting,Overall comp & company culture is good with decent work life balance.,Inexperienced Managers. Slow growth. You have to interview for roles even at the same level. Scope of work is too specialized and focused on only once aspect.,"Verified User  Current Employee   o*****   Senior Technical Recruiter - May 4, 2022 ",
4,Lots of opportunities to work on and learn. Middle eadership lacks vision,Lots of broken processes that are great opportunities to get your hands dirty and learn.Awesome benefits,Middle management lacks a compelling and inspiring vision Hierarchical in practice,"Verified User  Current Employee   v*****   Program Manager - May 4, 2022 ",
5,One of the best moves I made,"- great environment to grow as a recruiter, be paid well, and have awesome benefits- smart people who will always take time to help",- PSC can be laborious and irritating- hard to have outsized impact in a company that gotten so large,"Verified User  Current Employee   C*****   Recruiting Manager - May 4, 2022 ",
