Rating,Description,Pros,Cons,Author Info,Resignation Reason
3,Extremely low salary and rewards,"Great culture, less work pressure, deadlines are not followed Srtirctly.","Low pay, hike and rewardsOld tech stack, not so good learning curve wrt techSlow career growth","Verified User Current Employee e***** Software Engineer II - May 6, 2022",
4,Great wlb,"Great culture, great work life balance. Good leadership. Good direction.",Lower than competitive compensation. Slower growth of career. Bottlenecked by multiple levels,"Verified User Current Employee r***** Software Developer II - May 6, 2022",
4,"Great work-life balance + best medical benefits, poor compensation",Great Work life balanceMedical benefitsCareer growthGood management,Below market compensationSlow development with new techDisorganized teams,"Verified User Current Employee M****** Software Engineer I - May 6, 2022",
4,"Good WLB, bad comp.","Good WLB. Good culture. This is team dependent of course, so it could vary",Management does not seem invested in retaining top talent with competitive offers.,"Verified User Current Employee g******* Software Engineer - May 6, 2022",
4,Great work life balance,Cares about employeeGood work cultureOpinion is respectedGreat benefits,Slow career growth and less compensation compared other peers in same domain,"Verified User Current Employee W***** Software Developer II - May 6, 2022",
5,Great place to work,- WLB- Good peers- Teams and Azure good place where you will get lot learning as compared to O365 (atleast in IDC),"- Not competitive pay- Not good hikes- After 4 year, will have cliff","Verified User Current Employee g***** Senior Software Developer - May 6, 2022",
5,Work life balance is the best,"Work life balance, good culture, smart colleague, understanding management, all depends on the team",Everything is a Microsoft product (.Net) you need to get on-boarded which takes time,"Verified User Current Employee P***** Software Engineer - May 6, 2022",
4,"Good benefits, but lower pay than FAANGs","Excellent benefits: 50% matching for 401k up to $10,500 a year, HSA, $1,500 wellness perk","Lower pay compared to other tech companies, especially the FAANGs.","Verified User Current Employee N***** Software Engineer - May 6, 2022",
4,"Great work life balance, management is really supportive, picking the correct work opportunities is solely on your will",Great work life balanceSupportive leadership Good encouragement for learning,Slow growthLess design opportunities Too much attrition these days,"Verified User Current Employee G***** Software Developer II - May 6, 2022",
3,Bad compensation,"Wlb,Stable stockNice people. Overall fun company to work for",Bad overall compRetirement home type feel sometimes. Career growth heavily dependent on manager.,"Verified User Current Employee K***** Software Engineer I - May 5, 2022",
5,Great work life balance,"The single biggest reason to work for Microsoft, is the empathy culture","Microsoft of late, has lost the race in pay and benefits","Verified User Current Employee p**** Software Engineer - May 5, 2022",
5,Engaging work and excellent management,I love the work I'm doingMy team is really greatManager is very supportive and a servant leaderI feel I have real impact and that I'm valuedCompensation is decentBenefits are really good,Work life balance is not optimalTeam culture can be a bit cultish and fake due to the review processCompensation should probably be higherAccess to internal products for labs is weirdly difficult to obtainRoles and responsibilities are extremely vague and conflictingPricing of services is complex and unnecessarily confusing,"Verified User Current Employee d******* Cloud Solution Architect - May 5, 2022",
3,"Great WLB, poor growth rate",- Immense flexibility in working hours.- Ability to move teams,- Hazy career progression path.- Poor compensation compared to industry standards,"Verified User Current Employee X***** Software Engineer II - May 5, 2022",
4,Great WLB,Wlb is good but team dependent nice office benefits are good,Compensation and management. Too much politics too many meetings uneven levels,"Verified User Current Employee o***** Digital Hardware Engineer - May 5, 2022",
2,Great WLB,Ok Work life balanceTalented colleaguesMost steady job in the world,Politics run the officeThey worship a speech more than the actual work you put in,"Verified User Current Employee C***** Senior Software Engineer - May 5, 2022",
5,"Great benefits, great culture.","Job is Stable, good work culture. Above average pay in industry.","Lots of reorganization. Bonuses, and incentives plan changes often and often not for better.","Verified User Current Employee S***** Consultant - May 5, 2022",
4,Good place to work,"Pay is kind of low but not too bad, culture is generally good, your manager will make or break your career there.","Everyone works slowly, azure has oncall, constant reorgs are a pain.","Verified User Current Employee S***** Datacenter Technician - May 5, 2022",
4,Good work life balance,Really good work life balance and huge opportunities to learn,"The salaries in Canada compare close, if not worse than a startup in the States","Verified User Current Employee L***** Software Engineer - May 5, 2022",
5,Great work life balance,Work-life balance is good401k plan has good matchDirect management is very much your career advocate,Low-ish payWeird obsession with acronymsUpper management is tone deaf a lot of the time,"Verified User Current Employee M******** Software Engineer - May 5, 2022",
