Rating,Description,Pros,Cons,Author Info,Resignation Reason
3,Meh,"Great comp and colleagues. Positive, open culture. Nice digs. ","Lacks key business foundations. Lots of F&R, too little accountability.","Verified User  Current Employee  k*****  Engineer - May 4, 2022 ",
5,Company for adults,"If you want to be treated as an adult and make decisions like an adult, this company is for you. ","Due to the Freedom & Responsibility culture (which is great) there is often times a lot of grey area, which unfortunately means that even sister teams can be wildly different from one another - one team can be great, another team can be meh, mostly due to the manager.","Verified User  Current Employee  J**  Senior Software Engineer - May 4, 2022 ",
3,Going down on all cylinders,"Top compensation Good wlb, but recently started to decline, more pressure Remote work","Culture is goneManagement came from AmazonLess freedom and more responsibilities Boring tasks, lack of innovation Absence of career growth at all","Verified User  Current Employee  M*****  Senior Software Engineer - May 3, 2022 ",
3,Poor middle manager,"Good work life balance , good compensation and benefits and autonomy ","Manager have too much power over IC without any check and balances , highly political and toxic ","Verified User  Current Employee  s********  Software Applications Engineer - May 2, 2022 ",
5,Best company I’ve ever worked for. I’ve never been more valued.,"High level of transparency from leadership, top of market salary, work/life balance ","High pressure environment, high expectations, while it’s a hybrid schedule, return to office is a non-negotiable in most departments","Verified User  Current Employee  J*******  Talent Acquisition - May 1, 2022 ",
2,Changing culture,Excellent compReally smart colleagues Unlimited PTO and flexible work schedule,Recent events are starting to erode our culture at shockingly high speed. It’s very disappointing. Too much work burden on small under resourced teams.,"Verified User  Current Employee  u*****  Senior Researcher - Apr 30, 2022 ",
5,Top of market all cash comp and unmatched autonomy,Freedom and responsibility (autonomy) and top of market all cash compensation,Levels are being implemented. Not sure how this will impact company culture.,"Verified User  Current Employee  i********  Senior Technical Recruiter - Apr 30, 2022 ",
3,Changing Landscapes,Unbelievable cash compGood WLBGood people to work with,Mid management heavyBurning cashToo much focus on I&D,"Verified User  Current Employee  j*****  Senior Software Engineer - Apr 29, 2022 ",
4,Great work life balance,"Great compensation, work life balance and culture. Tons of freedom.","Little to no career growth, tons of bloat in middle management","Verified User  Current Employee  _**  Senior Software Engineer - Apr 29, 2022 ",
2,Unmatched salary and benefits,"salary and benefits, work not drive, brand name, food and snacks","Culture, Expressing eliteness, fear of losing job, fake camaraderie, ","Verified User  Current Employee  k*****  Business & Systems Integration Analyst - Apr 29, 2022 ",
3,.,"Wonderful, intelligent colleagues who are truly the best in their class.",Confusing applications of the culture memo that can lead to an inequitable culture.,"Verified User  Current Employee  R*****  Human Resources - Apr 28, 2022 ",
3," Opportunities are abound, you just have to take them ","When F&R is working, there is nothing stopping you from doing your best work. The content not control model is what I will expect everywhere else I go, it's best way of treating adults as adults. There are some amazing managers/director, all of which I would work for again.","Culture has not shifted to remote well at all, the document culture has taken over to the point where it is hard to get work done. Before there were levels, it was almost impossible to grow into a Staff/Principal role.","Verified User  Current Employee  e*****  Senior Software Engineer - Apr 27, 2022 ",
1,Many changes in the culture in 2022 transformed the company into something disappointing.,Good TC and WLB ratio but not top of market anymore.,"Severance package doesn't not kick in, levels for eng, lot of decisions without analysis or explanation, lack of global corporate goals, no diversification of products, mixed bag of teammates, no career growth","Verified User  Current Employee  m******  Engineer - Apr 26, 2022 ",
3,Good base compensation. Good office perks,15% top of the  market salary. Great office location and perks,Culture subject to interpretation. A bit hypocrite after the years,"Verified User  Current Employee  H*****  UX Designer I - Apr 26, 2022 ",
5," Great coworkers, great culture ",Average level of talent is high.Problems to solve are challenging.Not too many cooks in the kitchen.Executives are world-class.Culture is unique.,Talent density is diminishing over time.You won't join for career growth.,"Verified User  Current Employee  o*****  Software Engineer - Apr 24, 2022 ",
5,Comp & Culture! Top-quality.,"* Being surrounded by top talent in every sphere of the work — there is no room for dead weight or average performance. This also means there’s an endless wealth of learning opportunities at every level, and it’s not uncommon to find yourself having lunch with someone who you later learn is a leading global authority in their field.* Minimal bureaucracy, with highly agile and empowered teams across the board.* Hierarchy is far less material than most companies — colleagues at all levels of authority are typically eager to listen to and learn from others at different levels.","* At scale, many of the most desirable cultural aspects (high autonomy, agility, all-senior level staffing) will be / are fading as the company matures into a more traditional corporate atmosphere.* The best aspects of the culture are understood and applied variously across org’s — while autonomy, feedback, tech savvy, and top-of-market pay are all rigorously aligned, debated, and enforced in most of Engineering for example, their implementation in areas like Customer Service is poor by comparison and more closely mirrors banal, generic American companies.* Pressure to over-perform can be high, though mostly self inflicted. Most of Netflix is comprised of exceptionally high performers who naturally have high expectations for themselves. The scales of performance are not like other environments you may be used to, so it’s easy to be too self-critical or push yourself harder than is healthy or necessary. Take a break!* As corporatocracy continues to take hold of the famous (infamous?) Netflix culture of ‘No Rules, Rules’ and budget constraints become tangible for the first time, employees will have less leverage to self-advocate for personal growth and accomplishment, and role mobility is rapidly decreasing.","Verified User  Former Employee  s******  Senior DevOps Engineer - Apr 23, 2022 ","Following a reorganization, my team charter was diverted towards a less technical role trajectory that I had no interest in participating in. I was also poorly compensated due to low tech-familiarity of our new organizational leadership."
4," Top of market comp, great work life balance, and a brand to be proud of. ","Top of market+ comp, great work life balance, and brand you are proud to work for.","It takes forever to get anything done, because people spend too much time talking about the culture. ","Verified User  Current Employee  k*****  Senior Software Engineer - Apr 19, 2022 ",
5," Great comp and WLB, less growth potential ",Comp has and always will be top of market. Work/life balance is great on my team but can vary depending on where you end up.,"Career growth is harder, lots of people competing for few management roles and it’s often about being in the right time, the right place, with the right favor from the right people.","Verified User  Current Employee  M****  Senior Software Engineer - Apr 19, 2022 ",
5," Good work life balance, given many opportunities to challenge/learn and grow career ","Challenging environment, smart + very capable coworkers, failure is tolerated as long as you learn and grow from it, good feedback culture",Growth paths are not as explicitly defined as other companies,"Verified User  Current Employee  D*****  Program Manager - Apr 18, 2022 ",
5,Great work and culture,"Good teammates, work, roadmap and engineering practices overall in the company. ",No many cons except that there are limited products owned and hence fewer opportunities to switch teams,"Verified User  Current Employee  d*****  Software Engineer IV - Apr 18, 2022 ",
5,Stunning colleagues,"You'd work with really excellent people, who are senior and have a lot to learn from.Compensation is great. Freedom to choose how much in stocks vs cash.",Lots of over engineering. Managers arent technical so don't have a say on architectural directions.,"Verified User  Current Employee  s*****  Senior Software Engineer - Apr 14, 2022 ",
