Rating,Description,Pros,Cons,Author Info,Resignation Reason
2,Ok if you can thrive in a chaotic environment,The compensation was attractive but totally not worth your soul.,Too heavy and no one can tell upper management the truth,"Verified User Current Employee k***** Senior Manager, Operations - May 4, 2022",
4,"Great remote policy, everything else ok","I am able to work from anywhere in the country which is fantastic. There are some great managers and some mediocre ones, as long as you’re not in sales you should be good.","Pay is very low, ambiguous promotion paths and lack of general performance review structure I’ve found across multiple teams","Verified User Current Employee s***** Data Scientist - May 6, 2022",
4,Overall a great place,Great work life balanceGreat people to work withOverall a great place,Some Management is not very good.Project moves too slow some time,"Verified User Current Employee I********* Software Design Engineer - May 6, 2022",
3,Great place to Learn but not a healthy WLB,Learning Curve. You will work with some really great engineers.Heath benefits,Too much work for the pay. You will end up spending working more hours / often carried to weekend work.,"Verified User Current Employee r***** Software Engineer - May 6, 2022",
3,Good wlb bad career growth,Good wlb Decent pay in OCI Decent tech stack in right teams,No career growth No compensation growth Ops load and regular oncall,"Verified User Current Employee M***** Engineer, Senior Staff - May 5, 2022",
4,It's Good,Pay is decent but not amazingWork life balance is very good,"Growth is slow, it's hard to move up in many positions","Verified User Current Employee i***** Software Engineer - May 5, 2022",
3,Great work life balance,"Great work life balance, company name in resume, working remotely","Poor management and limited career growth. Slow processes, toxic higher management","Verified User Current Employee E***** Senior Software Engineering Manager - May 5, 2022",
4,"Depending on group, people clock out at 5.",Good collab. Folks always want to do the right thing.,Bad pm leadership. No vision and just turning the crank.,"Verified User Current Employee N***** Product Manager - May 5, 2022",
4,Great Work Life balance,Great work life balance.Lots of learning tools.Great company policies.,Less learning of new technologies.Old technology stack.Slow moving to New stack.,"Verified User Current Employee l***** Software Developer II - May 5, 2022",
5,Great place to work - new employee,Team seems very capableHired at a great timeVery good WLB; international company Good expense reimbursement Offers remote,Department is from NetSuite acquisition; organization of employees is a little chaotic. Annual reviews and salary increases are rumored to be terrible to industry.,"Verified User Current Employee s******** Product Manager - May 4, 2022",
4,Great WLB,Good WOrk life balance. Flexible work schedule. Great team culture.,Not much benefits. Compensation is not upto the industry standards. No bonus or any additional benefits apart from the pay.,"Verified User Current Employee k***** Product Owner - May 4, 2022",
3,Good for initial 2yrs,Good managersThey actually listen and you are given responsibilities accordinglyGreat WLB,No hikesPromotions and hikes are not all relatedVery less stock refreshers,"Verified User Current Employee h******** Senior Applications Engineer - May 4, 2022",
4,Great work life balance,"Learning new technologies, job security, hikes are good compare to service base companies","I have not seen any as of now, may be its depends upon project","Verified User Current Employee I******** Software Engineer - May 4, 2022",
4,Great work life balance,"Everything is slow, relaxed pace. Amazing work like balance. G",Work can get boringMight work on outdated internal toolsExtremely slow growth,"Verified User Current Employee T***** Senior Applications Developer - May 4, 2022",
4,"Great WLB, otherwise pretty normal","1. Work life balance is great.2. Pay is good, even for freshers.",1. Limited perks2. Fixed component is a major part of the ctc.3. Management is not that great at getting developers the needed attention with senior management.4. Learning is not that great. Lots of Ops work.,"Verified User Current Employee N***** MTS Engineer - May 4, 2022",
4,Work life balance depends on the team you are in.,Consistent growth in salary if you perform well and keep your boss happy. Lots of learning opportunities related to emerging technologies.,More focus on building customer trust and then sell rather than just sell.,"Verified User Current Employee b***** Principal Solution Engineer - May 3, 2022",
