Rating,Description,Pros,Cons,Author Info,Resignation Reason
3,Good work life balance but slow career growth,"Work life balance is good, depending on the team you might get good manager",The salary is low compared to other big tech company in high cost of living places.,"Verified User Current Employee j***** UX Designer - Apr 9, 2022",
3,"Great work life balance , not so great work",Great work life balance Lots of time to work on your improvementDecent base salary,Very poor stock compensation Stock does not appreciateMay work on legacy code,"Verified User Current Employee Q***** Senior Software Developer - Apr 9, 2022",
2,Terrible Prospects,"very relaxed timelines, nobody cares when things get done unless they are prod issues.Free food, good deals on electronics, bikes and after 3 years they either give a car or a 100% bahn card","Zero support from managers, hiring people with no idea what to do with them, toxic people; directly complain to managers about every little thing, terrible cultural inclusion; people try to force you to use german even if you make it clear you can't, very little work with no sense of direction that a lot of processes aren't automated, just keeping the facade that SAP is a successful place even tho this is just remnants of times past.","Verified User Current Employee h***** Cloud Developer - Apr 8, 2022",
4,Best place to settle,Great work life balanceLess to no politicsTime to learn new stuff,Not so great tech stackFinding a job outside becomes difficult sue to out dated tech,"Verified User Current Employee m********* Senior Developer, Business Intelligence - Apr 7, 2022",
3,Low compensation as compared to peers,Great employee policies and flexibility to choose your work schedule no micro management,"Very Low compensation as compared to peers, sometimes paid lower than service based organisations","Verified User Current Employee s****** Software Developer II - Apr 7, 2022",
4,Good WLB with low compensation,"WLB is really good, people are nice, Company car and other benefits are good","Low TC here in Germany , Slow pace in tech","Verified User Current Employee d***** Technical Program Manager - Apr 6, 2022",
4,Great wlb,"Good team with awesome Wlb, perks here and there is good","Compensation, legacy framework. Too slow to adapt changes. Some colleagues get too comfortable. This is a demotivation","Verified User Current Employee h***** Senior Developer, Business Intelligence - Apr 6, 2022",
5,"Great work life balance, Awesome learning opportunities",Work life balance is greatNot much stress on the job but depends on the project,Lesser compensationAlthough benefits are quite good RSUs not offered to junior employees,"Verified User Current Employee V***** Software Developer II - Apr 5, 2022",
4,Chill,- Great WLB- Nice Benefits- Flexible schedule- WFH,- Slow growth- Depending on what team you are on could be working with older tech,"Verified User Current Employee f***** Software Developer - Apr 4, 2022",
4,Good work life balance,Pretty relaxed work environment. There isn't a ton of overtime.,Pretty stagnant. Seems like a place a lot of people have just settled at.,"Verified User Current Employee R***** Software Developer - Apr 4, 2022",
3,Great work life balance,-Great work life balance-Great benefits in terms of bonus,- Less growth- Not recommended for freshers - Partiality according to colleges,"Verified User Current Employee n********* Full Stack Software Developer - Apr 4, 2022",
3,SAP has one of the best WLB among the top tech companies as far as I heard,1. Good culture and peer-cooperation2. PTOs are encouraged by managers3. Good place for those people who doesn't want too much stress,1. Compensation is less compared to other companies2. You can't expect much learnings (might differ in different LoBs),"Verified User Current Employee R**** Software Developer - Apr 3, 2022",
3,Would only do it for the WLB,WLB that's about it. If you need to relax come here.,Comp is a joke for Bay Area. Work isn't that interesting.,"Verified User Current Employee X***** Product Manager - Apr 3, 2022",
5,Goof learning,1. Goof learning.2. Good Benefits 3. Work life balance,1. Low compensation: Low compensation compared to Industry standards . 2 . Growth Rate is slow,"Verified User Current Employee W***** Associate Software Developer - Apr 2, 2022",
5,Great Work Life Balance with decent work,- Great work life balance- Chilled environment in most team- Move within after 2 years- Quality work if part of cloud platform team,- Low salary - Low RSUs granted every year,"Verified User Current Employee H***** Product Owner - Apr 2, 2022",
4,"Fun, no growth.",Work life balance. Get to work from home. Fun culture,"To big. No chance for growth. Constantly told, gotta wait in line","Verified User Current Employee R**** Client Success Manager - Apr 1, 2022",
5,"Great place for interns, fulltime comp is lackluster","You learn a lot as an intern, given interesting projects to work on","compensation for full-time conversion isn't that great, many interns just leave for other companies.","Verified User Current Employee t***** Software Engineer - Apr 1, 2022",
4,Great wlb but strong refusal to pay at industry standard,"Amazing wlbAlmost all Teams have a great culture of acceptance and inclusionBeautiful campus (Germany, Bangalore, Palo alto)Lots of travel opportunities (pre covid)","Even after multiple escalation from employees, management refuses to understand importance of competitive salaries. They depend on the fact that culture and wlb is good to cover up for salaries.Only manager and VPs have good salariesZero concerns when absolute key players quit due to salary, barely any attempts to retain.","Verified User Current Employee C***** Product Manager - Mar 31, 2022",
4,"Great benfits, endless opportunities","Excellent benefits, overall good pay, great people and office locations","Constant change, overlap, hard to keep up with the new orgs and people","Verified User Current Employee P***** Client Success Manager - Mar 31, 2022",
5,Great work life balance,Culture is great! Free lunch everyday! People are great! Large organization with lots of opportunities to learn.,Remote work is difficult for me but hopefully it will be change once offices opens up. Change is slow in the big companies.,"Verified User Current Employee T***** Senior Developer, Business Intelligence - Mar 31, 2022",
3,Good company to work,"WLB , benefits like transportation , food etcTwo digit hikes depending on department Work from home , flexible timings",It depends on which dept you work .The kind of work in some teams is monotonous which doesn't hold any value outside.,"Verified User Current Employee R***** Senior Developer, Business Intelligence - Mar 31, 2022",
4,Good WLB in hindsight.,It's a great place to have a normal job where you can mostly sign-off at 5 PM.,"German bureaucracy, in short. Things won't move fast and your comp won't be much to write home about.","Verified User Current Employee U********* Security Analyst II - Mar 31, 2022",
3,Great place for retirement.,Good work life balance and less work overall.Can work on anytime.,Less learning curve for early talent. Old stack for technology.,"Verified User Current Employee R********* Applications Developer - Mar 31, 2022",
3,"Great WLB , Average comp, little growth",It is like a retirement company. Perks are good. Culture is also good.,compensation is poor.Growth is slow.Very rare onsite is given,"Verified User Current Employee d********* Software Developer - Mar 30, 2022",
3,Good place to work with pros and cons(lately a lot),"Work-Life balance (may vary team to team)Compensation - okay, but not that competitive, could be better. Benefits - Good amount of PTO's, parental leaves, free transit passFlexible WFH during Covid (not sure though if that will change in future)Technologies used are mostly latest (but there are some legacy stuff too)If I go back in time, 5 years, this place was indeed a great place to work.","I will write the only cons that I face on daily to daily basis.There is one central team (can't name it, but some can guess) has become a big pain lately. I understand it is needed for product quality stuff, but it should be planned well. It has been affecting our bandwidth to do actual development work. Every week or so, there will be new ask from them to fix something, along with a deadline, and a lot of bugging too. We would have to park our current priorities and start on fixing their stuff. Last few months have been really frustrating, and I personally have started loosing motivation.When I started few years, it was still Concur, I felt it was best place to work, I planned to retire from here. But now things are different. Its all about SAP and following their guidelines/processes.One more thing, the non-tech mandatory courses on their portal. Not sure about others, I find it really annoying.","Verified User Current Employee i******* Software Design Engineer - Mar 30, 2022",
4,Good work life balance,"Good ability to move within company and explore new rolesStable company, ok compensation",Layered management structure leads to delays in decision makingDifficulty with innovation,"Verified User Current Employee x***** Principal Solution Manager - Mar 29, 2022",
4,Great Work Life Balance,"Great work life balance, good culture, flexible remote working options",Compensation not competitive compared to other tech companies in the area,"Verified User Current Employee s***** Engineer - Mar 28, 2022",
3,"Great wlb, low compensation","- the ppl are very accomodating n chill- i feel supported in navigating the early bits of my career here- no work stress after 5pm, can clock out early","- i do not have competitive salary, no benefits either - slow promotions","Verified User Current Employee q***** UX Designer - Mar 28, 2022",
4,Great work life balance,"Work life balance, flexibility, decent compensation, good management, benefits, unlimited sick leaves",Slow or no Career growth especially for mid senior level,"Verified User Current Employee s******* Senior Developer, Business Intelligence - Mar 27, 2022",
3,"Lacking innovation, large machine where it is hard to get anything done","Pockets of good culture (concur), decent benefits, no layoffs during pandemic","Slow moving, lack of innovation, feels like you are a cog in the machine, hierarchical, pay is not competitive","Verified User Current Employee o***** Product Marketing Director - Mar 27, 2022",
3,Great work life balance,"Great wlb people are very nice to work with , good culture","Low salary is only con I see, hope they increase","Verified User Current Employee x********* Software Developer II - Mar 27, 2022",
5,Great place to work,In my time I would call out:-team-pay-culture,In my time I would call out:-lifers-bureaucracy-too Germany centric,"Verified User Current Employee I***** Senior Director, Corporate Development - Mar 26, 2022",
2,Horrible leadership with constant changes,Learn how to adopt to new leaderships every year almost,Not an engineering company where you build products for customers.Control is from Germany OnPrem world building software that meets still 50s standard,"Verified User Current Employee a***** Engineer I, Software Development & Engineering - Mar 26, 2022",
4,Good place to work but not so good for career growth,"Great work life balance, Good Management, Great co-workers, Decent benefits",Projects are as exciting not exciting as one would like to work on,"Verified User Current Employee b****** Site Reliability Engineer - Mar 25, 2022",
3,"Good, but not great",- Global presence- Work Life balance- Smart people,- Hasso runs the company so leadership is not empowered - Very slow decision making,"Verified User Current Employee l****** Sales - Mar 25, 2022",
3,Excellent for late career/retire,Good Work Life BalanceTeam work and team interactions are very good,Very low compensation (comparing average)Career growth with lots of limitations from management,"Verified User Current Employee A****** Software Developer - Mar 25, 2022",
