Rating,Description,Pros,Cons,Author Info,Resignation Reason
3,It's fine,"Work life balance mostly, decent base salaries compared to the competition","Too big and slow, falcon is awful to work on","Verified User Current Employee Y***** Software Engineer - May 6, 2022",
5,Great work life balance,"Great comp, work life balance, career progression is great and a ton of opportunities to network within the company","Too much oversight, micromanaged a lot, company culture is good but","Verified User Current Employee L***** Business Development Representative - May 6, 2022",
4,Many resources for career development,Salesforce encourages career growth and provides many programs to help get you promoted or improve skills. Networking both inside and outside of your line of business is encouraged,Growth and promotions can be somewhat slow at a large company,"Verified User Current Employee t******* Account Executive - May 6, 2022",
3,"Decent WLB and Culture, Compensation not so great",-WLB-Career growth-Corporate culture-Many groups are fully remote,-Total Compensation is lower then FAANG and other tier 1 and 2 companies -Lack of RSUs-New hires will come in at significantly higher comp then seasoned staff-Tech stack is dated-Not great for learning opportunities -Occasionally cultish vibe,"Verified User Current Employee B********* Manager, Consulting - May 6, 2022",
5,Good comp and culture,Amazing people and company culture Good comp and other benefits,Work load is higher probably due to pandemic And work from home,"Verified User Current Employee p*** Full Stack Software Developer - May 6, 2022",
4,Work life balance is great,You have a good team culture and the work life balance is good,They pay very less compared to the market. Its very hard to get a raise internally. They dont give a raise yearly and you only get 10-15% bump for promotions. No RSU untill you are a principal SE.,"Verified User Current Employee m***** Senior Solutions Engineer - May 6, 2022",
3,Its ok,WLB is good. People are nice and willing to help.,"Projects are not very interested, at least in my team. Too many process to make things moving.","Verified User Current Employee M***** Senior Software Engineer - May 5, 2022",
3,Hardly work more than 40 hrs,"Good work life balance.No meeting Fridays, well-being days off, unlimited pto",Too many cooks in the kitchen…too many stakeholders at the top drive very slow decision making and lack team autonomy to get things done quickly.,"Verified User Former Employee 🐶**** UX Designer - May 5, 2022",More money elsewhere at a smaller company where I can have a bigger impact.
5,"Great worklife balance, really strives to help with growth","Worklife balance is amazing with good benefits, clear career growth in many areas.",Compensation growth year to year is very team/manager/director dependent. Can feel somewhat very specific for hard skills learning.,"Verified User Current Employee g****** DevOps Engineer - May 5, 2022",
5,Great work life balance,- Great work life balance- Good pay- Amazing culture,- Can be boring- No refreshers- A lot of bureaucracy,"Verified User Current Employee w****** Software Engineer - May 5, 2022",
4,Still chugging along,"Products are still amazing and always improving.The culture you hear about is real. Like, real real.",Too much process now. So many management layers resulting in communication issues.,"Verified User Current Employee o*** Sales Manager - May 5, 2022",
4,"Relatively slower pace, good work/life balance","- call your shots re:schedule - flexibility - good people, culture - safety net","- can get boring if you are ambitious - comp structure is ok, not hyper competitive","Verified User Current Employee a***** Senior Director, Customer Care Management - May 4, 2022",
4,Good wlb,Amazing Work life balance. People are all amazing and kind.,The pay is at the lower end even for sales people.,"Verified User Current Employee D***** Account Executive - May 4, 2022",
4,Great Work life balance,"Great work-life balance, pretty decent benefits like dental, great compensation and pay",None that I can think of as of right now.,"Verified User Current Employee j***** Engineer - May 4, 2022",
5,Great work-life balance,- great WLB- solid compensation for the Indy area- nice office space and snacks- solid perks and benefits,- lack of mentorship in current position- stock compensation is lacking for lower COL area,"Verified User Current Employee b******** Senior Software Engineer - May 4, 2022",
5,Great work life balance,- There are some challenging aspects- Working with very intelligent people- great team work,- Sometime it feels like KTLO mode- Pushing exciting ideas to management that benefit the company are hard,"Verified User Current Employee a***** Software Engineer - May 4, 2022",
2,"confusing directions from the top down, micro management",work life balancebenefits and perkscompany culturenice coworkers,growing painsno growthno upward mobilitypoor managementno clear roadmap,"Verified User Current Employee d***** Software Engineer - May 4, 2022",
3,"Great WLB, no growth , very less comp",WLB is very good and people are considerate to help you.,"Everything else. No growth, less compensation. Very little RSUs and nearly no refreshers","Verified User Current Employee t***** Software Developer III - May 3, 2022",
5,Good company with a questionable outlook,Competitive compensation for actual levelVery good work life balanceSome actually interesting problems to solve on the right teams,"Some major infra projects are stagnatingLarge variation is engineer quality between teemsTitles are inflated by +1 at most levels, this is fine for comp but bad for egos","Verified User Current Employee z***** Software Engineer - May 3, 2022",
4,Great to work,Work cultureBenefitsOffice looks greatSome teams do have work life balance,Tech is not challenging enoughThings move slow because of middle management and release cycle,"Verified User Current Employee _******** Senior Software Developer - May 3, 2022",
5,Solid work life balance,Solid work life balance Good career growthGreat benefits Interesting projectsStable company Okay,Bureaucracy when deploying new services.Some bad apples in management,"Verified User Current Employee C***** Software Developer IV - May 3, 2022",
4,"Great work/life balance, reasonable expectations, still in transition",Work/Life balanceGood culture of working together/collaborationReasonable expectationsLots of upside from a product perspective,Constant ChangeContinued integration with SalesforceSales first vs. tech first approach,"Verified User Current Employee v***** Recruiter III - May 3, 2022",
4,Great work life balance,Work life balance in some teamsDecent compensationQuality workGreat culture,Growth opportunitiesSome teams managementOnsite opportunities are minimalStock refreshments not for all employees,"Verified User Current Employee f***** Software Developer - May 3, 2022",
5,Great values and growth potential,Salesforce is a unique company with a loyal customer base and a great culture. It is comfortable taking risks and making big bets. Exec leadership/founders are amazing.,"With size comes more meeting, structure and process. Fewer opportunities for building new products.","Verified User Current Employee j****** Engineering Group Leader - May 3, 2022",
4,Solid place to grow,"Great work life balance, good initial compensation, good culture, remote friendly, impressive company growth","Relatively few stock refreshers, large-company takes longer to get things done than it should, core app monolith.","Verified User Current Employee t***** Software Engineer - May 2, 2022",
4,Good wlb,"Good work life balance, easy work, low expectations, fast career growth","Management is very limited in how much they can reward employees, and even more limited on when they can give those rewards","Verified User Current Employee m***** Infrastructure Engineer III - May 2, 2022",
4,Decent place to work at and the WLB will vary depending on the team.,- good culture- 1 day off a month- Unlimited PTO (but most don't take enough)- Easy to get promoted.,- low raises- TC isn't competitive- No refreshers- Much of the work is devops focused.,"Verified User Current Employee b***** Manager - Applications Development - May 2, 2022",
5,Great company to work for,CultureCompensation Career growthBrand value outsideFully stocked kitchenBenefits,None that I can think of since nobody will be fully satisfied ever. I'm good where I am.,"Verified User Current Employee G********* Lead Software Development Engineer - May 1, 2022",
4,"Good WLB, moderate work.",Work is moderate. Can get promoted every 1.5 year. Attrition is also less,Tasks are not very challenging at times. Tech stack can be very specific to Salesforce,"Verified User Current Employee x***** Engineer - May 1, 2022",
5,Great Company,Great Culture and environmentGreat work office Free SnacksRemote,Limited stock refresher Growth limited Slow process No free food,"Verified User Current Employee S****** Analyst II, Business Support and Analytics - Apr 30, 2022",
4,Good company to work,Good for work life balance not for all teams.Good perks,"Sometimes routine works will be more.Legacy projects, development time is high in core","Verified User Current Employee p***** Applications Developer IV - Apr 29, 2022",
4,I think I'm fortunate to be on one of the best teams!,My manager and the skip levels all the way up to AVP are fantastic! I have access to them at any time. We have a great culture of sharing and support.,"It can take some time to move around, but it is possible and encouraged to find the right fit for everyone.","Verified User Current Employee l***** Sales - Apr 29, 2022",
4,Good work life balance.,Good company culture. Market leader. Strong sales team. Good work life balance,Can come across weird management depending on the team. Pay is less than the market average.,"Verified User Current Employee c**** Product Manager - Apr 28, 2022",
4,"Great work like balance, lots of internet opportunities.","Top notch employees benefits, flexible in terms of remote work","Things moves a little slower, tough to get promoted in upper roles","Verified User Current Employee c******** Infrastructure Software Engineer - Apr 28, 2022",
4,Good benefits and Wlb,"Good wlb and benefitsWellness benefits, wellness days,Good compensationVTO voluntary time off for social work, open source work etc.15% esppFree goodies and swagsVery transparent and open culture",No good workLearning can take a hitNo joining bonus,"Verified User Current Employee M*** MTS Engineer - Apr 28, 2022",
4,Overall Good,Work life balanceCompensation comparable to FAANGGood cultureGood supporting colleagues,No remote culture in India which should have become common after seeing people work from home during pandemic,"Verified User Current Employee W*** Software Engineer - Apr 28, 2022",
3,"Higher Quotas, Fewer Accounts",Good benefits. Solid for the resume. Nice offices. Plenty of great people.,"I manage a team of AEs, and their quotas increased 70% this year (after a lighter COVID quota). Mine increased 50%. Territories also tightened up. In other words, to earn what you made last fiscal, you must improve your performance by50- 70%. Plenty of favoritism. Territories have never seemed equitable. You'll have a few AEs hit 400%, most others 40%","Verified User Current Employee H******* Regional Vice President of Sales - Apr 27, 2022",
5,Great work life balance,Work life balanceEasy to change teamsGood culture .,Refresher sucks here even you perform well . . .,"Verified User Current Employee o***** Engineer - Apr 27, 2022",
3,Business Needs move lot faster than Human Needs,- great benefits- strong philanthropic programs and giving culture,- Re-organizations happen so often to adapt to business opportunities it is easy to get thrown off a career path and feel like a pawn being moved around on a chessboard. - Core development cycle is slow which slows innovation (this could be a pro for some),"Verified User Current Employee f********* Senior Product Manager - Apr 26, 2022",
4,"Great company and products, Comp can be better",great benefits and company culture. Product portfolio are cutting edge and customer footprint continues to grow,compensation could be better. Once you are in your role it is difficult to be promoted within to a higher AE pay band.,"Verified User Current Employee a********* Account Executive Mid-Market - Apr 26, 2022",
4,Good place to work (mulesoft),"Market leader in category, best company to work for among established integration vendors. Of course growth is not as explosive as previous","Growth not as explosive, but still heavily growing. No cons as such","Verified User Current Employee s********* Senior Architecture Engineer - Apr 26, 2022",
4,Great company culture,Ohana culture will make comfort any employee working for Salesforce.,"Career progression is really in my case. Even I have a 14 years of experiences and working so hard, promotion will be get if you can get close to the manager and his peers","Verified User Current Employee d********* Software Engineer IV - Apr 26, 2022",
5,"Great wlb, too corporate",The company has Good wlbGood benefitsGood enough compensation,The managment is too slow.Too many policiesGetting things done takes a lot of time,"Verified User Current Employee v***** Software Developer - Apr 26, 2022",
3,Rampant Politicking and awful work/life balance,"I never heard the word politicking until I came to Salesforce and it was on the employee survey. Let's just say, it was pretty rampant. Some leaders (very influential ones I will add) do not promote fairly and with transparency, there is lots of favoritism and hallway type conversations. When it comes to work/life balance, that's not existent and soon you start to eat, breathe, sleep your work and start neglecting family (if you have) friends, dating life, etc.",It's great for your résumé since it's such a well known company in the Bay Area. It so much in other parts of the US,"Verified User Current Employee c***** Group Manager Marketing - Apr 25, 2022",
4,Great WLB,WLB is great! Pay is okay too. Very supportive and collaborative culture,Pay is mediocre for higher levels. Limited career growth. Boring work.,"Verified User Current Employee U***** Software Engineer - Apr 25, 2022",
2,Not remote friendly,Work life balance is decent in some teams.Time offs.,Not remote friendlyNon-empathetic managersSometimes work life balance is difficult to manage,"Verified User Former Employee N**** Engineer - Apr 25, 2022",Not remote friendlyNon-empathetic managersSometimes work life balance is difficult to manage
4,Great WLB,"Large company, constant growth. Compensation seems fine. Friendly helpful coworkers across products can be found.",Lack of organization at leadership levels. Unprofessional dynamics. I don't need to hear why you don't like certain PMs. I'm capable of reaching my own conclusions.,"Verified User Current Employee J***** MTS, Service Cloud - Apr 25, 2022",
3,Work life balance,Great work life balance and team members across the company,Care more about communication and talk than impact when promoting candidates. Simple tech stack and not much to introduce or learn from,"Verified User Current Employee v****** Software Engineer - Apr 25, 2022",
3,Not any better or worse than anywhere else.,Reasonably good products to sell. Significant company name recognition opens a lot of doors.,"The quality of front-line managers is hit or miss.Lots of training but most of it is training for the sake of training.I've stayed in an individual contributor role because I don't want to manage people - but as a Core AE I'm rounding up an extensive team of Cloud AE's and it's worse than herding cats.Lots of touting of values like Trust - but I've witnessed bullying and other trust-breaking behaviors. The company values are wallpaper, but not really practiced.","Verified User Current Employee A******* Account Executive - Apr 25, 2022",
2,"Lack of focus, too many fire drills, while move slowly on important initiatives",Generally good work / live balancePositive impact in broader community,Tactics drive strategy approach prevents meaningful progress on key prioritiesPolitical,"Verified User Current Employee Y***** Vice President, Sales - Apr 24, 2022",
5,Great work life balance,Competent leadership that encourages you to grow Benefits are great,Quotas can be some what unattainable. Big company easy to feel like just a number.,"Verified User Current Employee n***** Account Executive - Apr 23, 2022",
4,Great WLB and Culture,"Excellent WLB and culture. The company touts Success from Anywhere and really lives up to it. Most positions can be remote, if asked",The work is very siloed and often times feels like you're stuck in your swim lane. Promotions really only happen if you interview for position on a different team.,"Verified User Current Employee v***** Finance - Apr 23, 2022",
