Rating,Description,Pros,Cons,Author Info,Resignation Reason
2,Grew too fast,Everyone is kind and tries to be as helpfulRemote office budget is generous,High churn in management and lot of layering as the company growsTechnology stack is immature compared to other companiesValuation flat liningNo mega backdoor roth,"Verified User Current Employee  b*********  Engineering Manager - May 4, 2022",
3,"Awful work life balance, good comp. ",Good comp. High valuation but it's inflatedBenefits are great,Paper money Awful work life balance Managers are terrible & everything is URGENT,"Verified User Current Employee  L*********  IT Engineer III - May 6, 2022",
5,Top talent,Learning opportunitiesCoworkersRemote culture Eng focusPerksPayGood for resume,Not public yet but hopefully will occur in the next few years.,"Verified User Current Employee  O*****  Software Engineer - May 6, 2022",
3,"Bad wlb, little focus, lots of toil",Fast career growth and great teammates + direct managers. Decent compensation at first but doesn't scale with performance,Opaque decision making from leadership leads to everything being top priority. Never ending fires and scope creep makes it easy to burn out,"Verified User Current Employee  i***  Software Engineer - May 4, 2022",
5,Still great,"Long time employee, still love it here, it's just bigger",Less transparency than before by a fair bit which is disappointing,"Verified User Current Employee  u*****  Software Engineer - May 4, 2022",
4,Good for people that like the hustle life,-freedom and flexibility; my work is not bound by my job title -people are nice; haven't experienced any political drama -leadership is inspiring; we have smart and grounded org leaders,-terrible terrible work life balance; weekends are mostly spent to recover from the week-you need to be ready with things breaking all the time -so many reorgs!-low retention,"Verified User Current Employee  a*****  Program Manager II - May 4, 2022",
3,Rapidly going downhill,"Great base salary and bonusGood coworkers, friendly cultureRemote friendly",Terrible WLBSwitch to yearly RSU grants limits upside Leadership can't prioritize initiatives and keeps tripping over themselves,"Verified User Current Employee  q******  Engineering Manager - May 3, 2022",
2,Good as a stepping stone,Good up front payFriendly to remote work Still wants to act as a start up,Wonky comp structureTerrible WLBInexperienced managers can make or break your Stripe experience,"Verified User Current Employee  f*****  Sales - May 3, 2022",
4,Good place to work,"Only a few weeks in but great manager/team, great comp package, product continues to evolve so there's a lot of stability in the current economy ",Things are over documented almost to a fault to where you spend 15 minutes trying to get the answer to something because it's all spread out. Not a big deal and good things are documented but it's almost over complicated. I think they're working to improve this. Otherwise I don't have many cons but I'm still relatively new,"Verified User Current Employee  w*****  Researcher - May 3, 2022",
3,Poorly managed but WLB okay,Good compGood benefits and PTOPeople are generally very smart,Honestly after 1.5 years here I can say I don't get stressed out WRT WLB often. I'm actually more stressed about not having anything to do. There are too many conflicting priorities and cross org blockages that make it really not fun to be an engineer.,"Verified User Current Employee  c*****  Software Engineer - May 2, 2022",
