Rating,Description,Pros,Cons,Author Info,Resignation Reason
2,Worse than the civil service,Really great work life balance because there is no meaningful work.,You will stagnate. The work is not challenging or compelling enough to grow and build your resume.,"Verified User Current Employee  T******  Software Engineering Director - Mar 31, 2022  ",
5,Great wlb - this is pre Elon however,Cool caring people. Company takes care of employees and seems to actually care,Always in the spotlight. Twitter is very public so there is always some type of crisis,"Verified User Current Employee  Q*****  Senior Software Engineer - May 5, 2022  ",
4,Great Work Life Balance,Competitive SalaryGreat Work Life BalanceFully RemoteGood ML folksImpactful product,Suboptimal Infra/stackLimited amount of products to bring impact to.,"Verified User Current Employee  e*****  Machine Learning Engineer - May 5, 2022  ",
3,Decent work life balance. Slow to get anything done.,Decent work life balance. Days of Rest  one Monday a month. are great.,Consensus decision makes getting things done too slow.  Should be must faster.,"Verified User Current Employee  d*******  Program Manager - May 5, 2022  ",
1,The dumpster fire on the Twitter social platform is nothing compared to how it operates internally,you like to feel importantyou like to rest and vestyou don't want accountabilityyou like talking more than coding,"Internally Twitter is a reflection of the Twitter social platformWhat matters most is how many years were served at the company Nepotism is rampant, and its all about who you knowThe whole thing is ran by a few technical leads, and dismiss other engineer's ideas Product Managers are irrelevant, and don't have support. They are 5-7 years behind on machine learning - this was very surprising!I caution against hiring 'technical leads' from here because they will likely bring the culture with them. ","Verified User Former Employee  a*******  Product Manager - May 5, 2022  ","After 3 years, myself and many around me learned that it is impossible to make positive changes. The politics, nepotism, and lack of support get in the way of accomplishing anything. The only people that benefit are those playing the long game to opine endlessly and never actually build things. "
5,Miss the place,Nicest people I’ve worked with so far in my career.,Slow to ship due to tech debt but the team was actively fixing that issue.,"Verified User Former Employee  s*****  Product Manager - May 5, 2022  ",Better opportunity elsewhere but I would be open to going back one day.
5,Great work life balance and smart people to work with,Culture is unbeatable Work life balance is amazingVery smart people to work with,Doesn’t pay the best in marketSometimes a bit too woke,"Verified User Current Employee  c*****  Senior Product Strategy Manager - May 5, 2022  ",
5,management cares about you,"great wlb, and (though not applicable to me yet) I heard great benefits for parents. async first culture is helpful for sustainable work",eng iteration could be faster. dev work itself is fine,"Verified User Current Employee  h*****  Software Engineer II - May 5, 2022  ",
5,Great work life balance,Love the culture and the support that is available for employees .Career growth opportunities are equally great.,"Immediate managers are supportive ,but the chain of communication is a little slower.","Verified User Current Employee  h*****  Senior Product Manager - Technical - May 4, 2022  ",
3,Great,Good people to work with. Great culture worth sticking around,Change of location comes with significant pay decrease which is not worth,"Verified User Current Employee  f******  Software Engineer - May 3, 2022  ",
3,"Great WLB, ok comp, slow management",- WLB- Comp is just ok- Smart people- Great culture,- Management is slow and indecisive- Slow innovation and adoption,"Verified User Current Employee  p*****  Senior Software Engineer - May 3, 2022  ",
4,WLB depends on team,"Great culture, colleagues are very friendly and helpful, willing to share",Some teams are with bad WLB and delivery. But the internal transfer is easy,"Verified User Current Employee  j*****  Data Scientist II - May 3, 2022  ",
3,"Great Work Life Balance / Bad Comp, Transparency and Management","If you are competent, you can do your job in 20 hrs / week. Work life balance is great.",Comp is very poor relative to other bigger tech firms. Thick layer of middle managers (who don't do much) prevent you from building a long-term career. The answer to any problem is hire someone to do vs. build long-term solutions.,"Verified User Current Employee  s********  Senior Manager, Strategy & Operations - May 3, 2022  ",
4,Great WLB,"Great WLB, good comp, good benefits, good place to work at",Woke culture - employees are openly political on company slack channel,"Verified User Current Employee  t********  Engineer I - May 1, 2022  ",
4,Great before EM,"Was great before EM: amazing culture and opportunities. Comp is competitive, huge impact ","Uncertainty is killing it, tons of fears about potential changes and job security ","Verified User Current Employee  a*****  Data Scientist Manager - May 1, 2022  ",
4,Great work life balance,"Its a good company if you care about wellness, culture, perks","Technically, they play it very safe, donot try out new stuff, easy to feel technically stagnated","Verified User Current Employee  E*****  Engineer I, Software Development & Engineering - May 1, 2022  ",
4,Great place overall,Excellent work life balance Opportunity to work on unique problems at scaleCompassionate managers,Initiatives sometimes take a long time to get startedSometimes communication from leadership can seem ambiguous,"Verified User Current Employee  q********  Software Applications Engineer I - May 1, 2022  ",
5,Great company,Work life balance great benefits Employeeswork from home people,uncertainty these daysDifficult to understand how grow your career,"Verified User Current Employee  k*****  Process Analyst - Apr 30, 2022  ",
3,Poor management but good WLB,You have a good work life balance. Also days of rest are nice.,Management sucks. They say they support employees but they don’t. Don’t expect to get promoted anytime soon.,"Verified User Current Employee  b*****  Full Stack Developer - Apr 30, 2022  ",
4,"Great work life balance, if you don’t burn out first","- employees are accepting and welcoming to work with- if you like a fast paced environment, that changes daily, you’ll face endless new challenges and will learn A LOT  - culture, benefits & comp "," - often under staffed and limited onboarding support - incredibly difficult to get promoted internally - a corporation is not your family, no matter how well that family is packaged and marketed to contracted employees ","Verified User Current Employee  h****  Sales - Apr 30, 2022  ",
4,Good,People are great. Very candid culture but remarkably friendly.,Many strategy roles but struggle with planning. Result is periods of spin in pockets of the company.,"Verified User Current Employee  S*********  Project Manager - Apr 30, 2022  ",
3,Unsure of outlook,Good benefits and culture and good collaboration so far so good,Unsure of what’s going to happen after Elon takes over,"Verified User Current Employee  O*****  Software Engineer - Apr 29, 2022  ",
4,"Good WLB, incapable leadership",Good WLB with decent Pay. Good benefit but will likely soon be canceled,Terrible leadership and execution. The potential of the company will likely never be achieved,"Verified User Current Employee  P*****  Software Engineer - Apr 29, 2022  ",
3,Just started and it’s rather interesting,"Onboarding has been a hoot, I wonder what is in store the next few months ","Uncertainty about future, lots of all hands with few answers ","Verified User Current Employee  e********  Staff Engineer - Apr 29, 2022  ",
5,The most diverse company I have ever worked for.,Great work-life balance. Lots of talent to learn from. Very nice people. Mature company.,"Some very loud and somewhat dense tech bros, lots of tech debt.","Verified User Current Employee  b*****  Software Engineer - Apr 28, 2022  ",
3,"Nepotism, Cult of Personality, But You can do whatever you want","Basically no real work until there all the sudden is a ton of work. You can take time off for wellness or recharging whenever you want. No one cares really if or when you are working. Don't expect Twitter to have any useful internal data or tooling, and don't expect that your colleagues or bosses will be informed on the basics of performing their role. People think Twitter is a good place to work with smart people so they want to poach you. You can enjoy a really good paycheck and just goof off most of the time in. your pajamas, so that's awesome. ","Leadership is insane. They are incompetent and can't communicate with anyone. Don't expect to even hear from your leader for at least 6 months, even with just an update email. That will not happen. A lot of people are way too into Twitter culture and act like children. They think they are saving the world. You will see a lot of projects that should have been completed years ago that are not even started. You will have surprise meetings with teams you've never heard of. This job is not hard and you won't grow professionally. It's just a space holder that some people hold for 5 years. ","Verified User Former Employee  J*****  Software Engineer II - Apr 28, 2022  ",Got a huge raise with a lateral move to competitor
3,Great wlb,Great culture and people to work with. A lot of good quality systems and tools invested in.,Not maxinmzing the full potential of Tools. Processes. A lot of Uncertainty.,"Verified User Current Employee  c*********  Program Manager - Apr 28, 2022  ",
1,Good Wlb,"Wlb, benefits are good, free food is nice before pandemic ","poor management , mediocre techAlways shifting priorities, kindom of product managers who knows nothing ","Verified User Current Employee  b*****  Software Data Engineer - Apr 28, 2022  ",
4,Nice People,Talented people who are friendly. It is pretty hard to find.,"Can get political and chaotic at times, and no clear accountability. Some weak execs among the ranks.","Verified User Current Employee  I*******  Engineer - Apr 27, 2022  ",
4,Great work and life balance.,"Talented colleagues, good work and life balance.Company values its employees.","Product is not easy to sell, the direction is not clear.","Verified User Current Employee  E*****  Account Manager - Apr 27, 2022  ",
