Rating,Description,Pros,Cons,Author Info,Resignation Reason
2,Okay company,I genuinely don’t have any best reasons to work for this company. It sucks a lot in general and I wouldn’t recommend,"Leadership team, culture, no integrity, bad ethics, political, mediocrity, wannabes","Verified User Current Employee b***** Software Engineer - Apr 25, 2022",
3,Nice,Nice and intelligent collegues. I feel Good growth opportunity in Uber.,I feel and it looks like work life balance may not be best.,"Verified User Current Employee i***** Software Engineer - May 5, 2022",
4,"Still great core product, needs a real strategy","Better work life balance under Uber 2.0, easy to make friends among colleagues due to shared camaraderie",Lack of vision from senior management; core product (Rides) hasn't seen real game changing innovation in years.,"Verified User Current Employee f***** Business Development - May 5, 2022",
5,Great work life balance,Mission and the purpose are reason I stay here and it’s rewarding,Documentation is out dated due to fast paced and keeps outdated,"Verified User Current Employee A***** Mobile Developer - May 4, 2022",
4,True Techie company,- Best in class tech stack- Pay master and good benefits - Good worklife balance,- More noise on documentations like ERD which mostly goes useless - Sometimes things are over engineered,"Verified User Current Employee E***** Senior Software Engineer - May 4, 2022",
4,supportive managers who want to see growth,"fun team, supportive managers, great lunch / other perks (nyc)","pay is less than other large tech companies (ex google, meta)","Verified User Current Employee o***** Operations Manager - May 4, 2022",
4,"Great work life balance, bad management","Really good benefits, no hustle really. Good tech stack. Good refreshers. Easy promos.",Bad management. Not sure about where the company is going. Bad stock prices.,"Verified User Current Employee X***** Software Engineer II - May 4, 2022",
4,its okay,High performers would be recognized.Still lots of stuff to build,Weak managementUncertainty of how rides recovery would be after covif,"Verified User Current Employee y******* Senior Software Engineer - May 3, 2022",
3,Potential for layoffs upside is severance pay,Lunch and benefits are amazing. Cool office space and coworkers.,Post IPO the vicious cycle of hiring frenzies and then layoffs definitely diminishes job security,"Verified User Current Employee y**** Client Success Manager - May 2, 2022",
4,Not too bad,"Compensation, if you perform well, you will recieve top payInteresting work, there is still lots of problem tosolve in this space","uninspiring leadership team, CEO is not that greathard businees to truly make money, lots of uncertainty due to Covid long lasting impact and laws about gig economy","Verified User Current Employee i***** Senior Software Engineer - May 1, 2022",
4,Great comp and tech,"Smart people around,great tech and tooling, quickly onboards you, good comp","Tech debt, little over engineering, people seems to be a bit less motivated","Verified User Current Employee G***** Senior Software Engineer - Apr 30, 2022",
3,A place where pains and gains are both a lot,- big scope - interesting domain and product - fast paced - good size team,- culture - compensation- sometimes it runs too fast so decisions are made out of nowhere,"Verified User Current Employee A******* UX Researcher - Apr 29, 2022",
5,Great place to learn and grow,Smart colleaguesInteresting problems to solveGreat developer platforms and infrastructure,Management is not inspiringPromotion driven cultureThe stock price hasn't gone anywhere,"Verified User Current Employee C***** Staff Software Engineer, Manager - Apr 28, 2022",
5,Great Company!,"Great Company, love my team and the stuff we are doing!",I wish the pay could be a little bit higher.,"Verified User Current Employee y** Analyst - Business Consulting - Apr 28, 2022",
3,Short sigthed managing team,"pay is ok, stock liquid-able and benefit is okSmart engineers around me",Short sighted managersHorrible stock performanceCulture not inclusive enough,"Verified User Current Employee b******* Engineer II - Apr 27, 2022",
4,Decent company,"Great people, nice mission, and nice perks. I think it is a nice company.","Understaffed, chaotic, and unorganized. Overall I. Think that it is a good company.","Verified User Current Employee M******** Manager, Creative Services - Apr 26, 2022",
4,Terrible leadership,"Good pay, flexibility in schedule, interesting tools and collaboration pretty good","Terrible leadership, no vision, zero ethics. Mini Expedia within Uber","Verified User Current Employee B***** UX Architect - Apr 26, 2022",
5,its fine,"the position offers good pay, as well as good work life balance",the company culture feels pretty corporate. but I guess that's what big tech is today,"Verified User Current Employee b***** Software Engineer - Apr 26, 2022",
5,Good benefit and work life balance,"Good benefit, salary and other benefitworkload is very reasonable",Not very clear what you need to do for promotion,"Verified User Current Employee i***** Software Engineer II - Apr 25, 2022",
3,"They offer alot of benefits including good pay, but worried about talent attrition due to low stock price","Hard work is rewarded well, bonuses can get quite high","Stock continues to underperform, hard to compete with companies who's TC increases yoy","Verified User Current Employee o**** Software Applications Engineer IV - Apr 24, 2022",
4,"Great work life balance, higher than average pay.","Due to current job market situation, Uber is trying to attract more talent by offering nice stock options and higher than average salaries. Unlimited vacations*, almost 4 month parental leave (whoever is interested)","Current management is concerned about profitability. They'd rather save cost rather than investing into something new or research, but obviously depends on org, department, team.","Verified User Current Employee o***** Senior Systems Engineer - Apr 24, 2022",
4,"Good culture, questionable comp and opportunities",-really supportive and collaborative culture -everyone is innovative and acts like an owner -internal mobility is encouraged,-comp below market for biz ops and product roles-middle management do not know how to people manage -really disorganized performance review and promotion opportunities,"Verified User Current Employee e***** Product Operations Manager - Apr 24, 2022",
4,"Amazing peers, Great WLB with interesting problems to solve","— Talented folks bringing best of engineering, design and product perspective – Some weeks can be heavy but weekends are almost always peaceful. If you're a part of a global team expect a few hours I the night on 3/4 days– Even after a decade of existence problems to solve are interesting. Lots of new stuff being built every day.","– Stock performance has been a put off. A lot of people were expecting that to change with profitability, but didn't quite happen. Business has been stress tested quite a lot due to covid, regulations, competition etc. Hopefully this should improve now– Leadership focuses a lot on profitability. The company is capable of a lot more. Would love to see more vision and futuristic ideas being discussed in public forums.","Verified User Current Employee c***** Product Manager II - Apr 24, 2022",
3,Average place,"Good work life balance, and the domain is relatively interesting.","Poor compensation, stock performing bad, poor benefits, and no 401k matching.","Verified User Current Employee t***** Data Scientist - Apr 23, 2022",
4,Good peer,"great work life balance, good tech stack, good comp,","not much i can think off, opportunity for internal transfers are less.","Verified User Current Employee E***** Software Engineer - Apr 23, 2022",
5,Great career path and work life balance. Average management.,"A lot of opportunities to career growth, full autonomy to build thing from scratch.","Management is not perfect, some senior managers do not want to take accountability.","Verified User Current Employee P***** Community Operations Manager - Apr 22, 2022",
3,Poor Management,"If you’re in a good team, you’ll have great career growth. If not you’ll be stuck. They place importance on impact which is harder to qualify based on teams.",Management is awful. Lots of org changes and you’ll feel stranded many times.,"Verified User Current Employee q********* Software Engineer - Apr 20, 2022",
4,"Good brand to have on resume, do the time and then move on","Great people to work with, overall benefits were above average. Management is hit and miss. You have great managers who really care about your development. Then you have the guy who just goes through the motion and blocks time on his calendar just to appear busy.","They say pay is transparent and fair. Take that with a big grain of salt. Big variances between experience and teams, even though everyone is the same level/job umbrella.","Verified User Current Employee c********* Business Analyst - Apr 20, 2022",
4,good place to work overall,After switching jobs it appears that Uber is still pretty strong compared to top tier competitors.,"Depending on the team, things could get political real quick and the room for growth is therefore limited.","Verified User Current Employee N***** Data Scientist - Apr 19, 2022",
4,ok,comp is ok. some teams are good. lot has changed in company in few years,non organized . collaboration sucks. eng and product are not aligned well,"Verified User Current Employee w***** Software Engineer, Front End - Apr 19, 2022",
4,"Great team, messy upper management","- Lots of career growth- My team (non-tech) was great, still talk to them- Worked on interesting, high impact projects- Learned a lot",- Upper management didn’t know what to do with us lol- Lots of attrition- Perks could be better,"Verified User Current Employee l***** Senior Technical Writer - Apr 18, 2022",
4,Good opportunities to grow,- Good Benefits- Pay scale is good- Learning opportunities,- Slow growth in a few verticals- Mid management,"Verified User Current Employee F***** Busineess Analyst - Apr 18, 2022",
5,Interesting space to work in,"It is such a unique business that you get to run projects that directly impact the daily lives, think about the marketplaces, and have the ownership of the marketplace p&l","It is a sensitive business towards the markets, the company doesn’t always get the best press","Verified User Current Employee a***** Operations Manager - Apr 17, 2022",
4,Good work life balance,"Great mission, highly smart and sharp individuals and great compensation",Few bad personalities. The lunch quality was not so good.,"Verified User Current Employee O***** Product Manager - Apr 17, 2022",
3,Not always appreciated,It’s a well known brand and is comparatively decent compared to many other places,"The job can feel repetitive, menial, and unappreciated at times","Verified User Current Employee A***** Data Analyst - Apr 17, 2022",
3,"Slow career growth, good WLB",- Good work life balance- Good compensation (had stock not ranked),"- Significant turnover, good people leaving- Slow career growth (vary by team, YMMV)","Verified User Former Employee I***** Software Engineer - Apr 17, 2022","Slow career growth, talented colleague leaving, low energy within the team"
4,"Exciting problems, really smart people, but sometimes a lack of product vision","meaningful work, smart people, good comp and benefits, still growing. Office is nice!","Leadership vision weak, everyone asked to do too much, super political.","Verified User Current Employee K***** Produce Manager - Apr 16, 2022",
4,Working in India,good compensation work life balancecareer growth knowledge great colleagues,poor vision too much chaoseverything run by us teamsnot open to change,"Verified User Current Employee U***** Software Engineer II - Apr 16, 2022",
3,Not what it used to be,You will gain average experience with:good compEasy promo,You will gain average experienceBad WLBBad engineering practices,"Verified User Current Employee t***** Software Engineer - Apr 16, 2022",
5,"Great salary and perks, extremely talented folks to work with","Flexibility, latest technologiesInteresting work assignmentsLove the efforts taken by the company on learning and development for its employees",None as of now.I am happy with everything Uber has to offer,"Verified User Current Employee P********* Manager, Finance - Apr 14, 2022",
5,Great wlb. Good transparency.,Great wlb. Good transparency. Challenging problems with real life impact,Stock price has been hurting. Need to drastically improve PR team to better communicate company's vision,"Verified User Current Employee r**** Staff Software Engineer - Apr 14, 2022",
5,Great place for techies,Great learning and ability to make differenceWonderful colleaguesGood work life balance,Wider span of controlOpportunity to manage bigger teams and rotate,"Verified User Current Employee c***** Engineering Lead - Apr 14, 2022",
5,Overall positive experience,"Interesting problems and challenges, working on products you personally know and use. Feel and see impact of your work.",Company policies and culture seems to slow us down. Teams seem to overcomplicate things vs quickly execute,"Verified User Current Employee o***** Operations Lead - Apr 13, 2022",
4,Interesting challenges,Ability to explore and take on challenges that interest you. Good WLB for the most part,Management (all the way to the top) seems to shift priorities often. There’s a lot of attrition.,"Verified User Current Employee h******** Finance Manager - Apr 13, 2022",
4,Great comp and WLB,"- Very competitive comp- Most teams have good WLB- Interesting problems, global scale","- Tech debt, quality various significantly between teams- Leadership doesn’t seem to have any plan","Verified User Current Employee r***** Engineering Manager - Apr 13, 2022",
4,Good experience but team dependent,"Lots of opportunities, with some really great products and resourcing.","Management could be distracted, lots of turnover at upper levels. Hard to move between functions internally.","Verified User Current Employee t*** Operations Manager - Apr 12, 2022",
2,Don't care about employees,1. Solid tech stack 2. Some smart folks3. Big impact,"1. Company culture encourages people to be self serving. As a result hard work may not get rewarded.2. A lot of employees privately talk about stress, but culture makes it hard to openly address it.","Verified User Current Employee A***** Software Engineer - Apr 12, 2022",
4,"Decent job, if your manager is good","Decent wlb, interesting projects. Perks were good back when there was an office.",Managers highly variable. Ended up with one who was toxic and a brown-noser and my job became miserable,"Verified User Current Employee c***** Software Engineer - Apr 12, 2022",
5,Work life balance is reasonable. Industry is struggling.,Reasonable management and expectations. Big problems and lots of responsibility.,Trying to live both in the future and drive profitability.,"Verified User Current Employee r***** Program Manager - Apr 12, 2022",
4,Good place for retirement,"Technology company that has decent culture, brand and product. Flexible work life balance",Poor payToo much focus on metrics vs customer value,"Verified User Current Employee w***** Director of Business Strategy - Apr 12, 2022",
4,Good place,Smart peopleGood perks and moneyCulture has been improving Rewarding if you have impact,Unnecessary tech migrations Miscommunication among teams leading to waste of resources Unable to handle projects across geographies smoothly,"Verified User Current Employee T***** Software Engineer II - Apr 12, 2022",
5,Great work life balance depending on team,Product that everyone uses. Does team wife block out and wlb,Mostly comp. And internal transfers are the worse. Can never get it done,"Verified User Current Employee V***** Auditor - Apr 12, 2022",
5,Good autonomy,- Used to have great culture before pandemic- There is a sense of autonomy and bottoms up planning - friendly policies- hybrid work- supportive humane management generally,- soemtimes business feels directionless- internal movements are hard- stock keeps dropping,"Verified User Current Employee i********* Program Manager - Apr 11, 2022",
3,Engineers are great,Tech stack are coolCoworkers are easy to work withPeople overall are niceTeam transfer is convenient,Management is a chaos Stock always diveprojects are not joyful in most time,"Verified User Current Employee x***** Engineer - Apr 11, 2022",
5,So far so good,Good team and cultureAmazing benefits at the HQDecent salary,Decent WLB. Multiple data request and changing priorities makes it difficult to set goals,"Verified User Current Employee s******** Data Scientist - Apr 10, 2022",
4,Good learning and growth opportunities,"Tech, autonomy, good problems to solve. Good for ICs looking to build new stuff. Decent compensation",Slow in business growth and managing competition. Leaders can be more aspiring,"Verified User Current Employee c***** Senior Engagement Manager - Apr 10, 2022",
3,A once-great company now stagnating,- Decent compensation with a cliffless vesting schedule- Smart ICs- Great mission- Might actually become profitable,- Leadership has run out of ideas and is just outsourcing eng to India to reduce costs- Product is stagnating too,"Verified User Former Employee p******* Senior Software Engineer - Apr 10, 2022",Got laid off a couple of months after CTO said eng was 20% bloated
4,Good work life balance but resource strapped,Smart coworkers Interesting fast paced projectsWork gets launched quickly,A bit of the leftover culture from days gone byProgress highly dependent on your manager Pay lower than other tech companies,"Verified User Current Employee f***** Senior Product Designer - Apr 10, 2022",
4,Okayish place to work,1. Great Compensation2. Smart Peers3. Good Benefits & leave plans,1. WLB can take a hit sometimes2. Too much dependency of US teams3. Sluggish Stock4. Uninspiring leadership,"Verified User Current Employee ༼********* Software Engineer II - Apr 9, 2022",
5,Great combination of career growth and learning opportunity,People are kind and smart. Challenges are unique for the scale. More opportunities than other big companies.,Many teams are understaffed which means prioritization can be challenging.,"Verified User Current Employee g***** Senior Staff Software Engineer - Apr 7, 2022",
4,Not bad,- Fun problem space- Smart colleagues - Competitive pay,"Dara < TK. HmDara is a suit, not a visionary leader","Verified User Current Employee &***** Product Manager - Apr 7, 2022",
3,Good so far.,Ir’s a different company under Dara and it’s good so far.,Long term planning is not clear but still figuring it out.,"Verified User Current Employee X***** Engineering Manager II - Apr 7, 2022",
3,Not Eng? Good luck,Notable companyOffice locationConversation starterOffice snacksFree food,Terrible management politicsCompensation is significantly lackingKPI’s are usuless,"Verified User Current Employee p********* Sales Operations - Apr 7, 2022",
4,No growth,Amazing culture and lots of events and nice mangers and free uber rides.,"Slow growth, you have to find promotion outside your team which can be challenging.","Verified User Current Employee p******* Senior Business Analyst - Apr 7, 2022",
5,Great work life balance,Love the vision and purpose of our product Love the people working at UberStrong D&I,So far all great and happy to create impact to the community,"Verified User Current Employee i***** Manager, Customer Success - Apr 7, 2022",
5,Overall great experience,Pay is top of the local market and so is the benefits,Not a lot of innovation going on. A lot of team are just doing KTLO works,"Verified User Current Employee d***** Software Engineer - Apr 6, 2022",
1,Toxic work environment led by scrupulous folks,"The work itself is interesting, so are the tools you use and learn.","It differs from team to team but I’ve encountered people in 2 separate country offices who are astonishingly dishonest, unashamed about stealing your work, and have a great disdain for the people they are supposedly aiming to serve.","Verified User Former Employee m***** Operations & Logistics Manager - Apr 6, 2022",I was laid off in one of the mass layoff rounds.
5,Amazing engineering culture,"Important work, stock lots of up side, lots of good work to do, great compensation.",Company needs to do something about the oncall requirements. Many engineers having to wake up several times a night for alerts. Please emphasize important a of Work Life Balance to managers.,"Verified User Current Employee z***** Software Engineer - Apr 6, 2022",
5,Great work life balance,Amazing work life balanceFriendly cultureTransparency around communicationManagement and leadership is experienced,Moves much more slowly than a startupBig company bureaucracy and red tape,"Verified User Current Employee d*** Product Manager - Apr 6, 2022",
3,Average,"Top tier compensation in the market, generous RSU refresh, friendly coworkers","Average growth opportunities, low morale in the whole company, company growth is stagnant","Verified User Current Employee J***** Software Engineer - Apr 6, 2022",
5,What you make of it,"Plethora of opportunities, intelligent people who enjoy working together","Compensation could use some work, very design doc oriented promo culture","Verified User Current Employee a****** Software Engineer - Apr 5, 2022",
3,Aimless management,Work life balance and TC for new hires is good.,Directionless leadership. Move fast is dead. Too much tech debt. Very few engineers write quality go code. Blind leading the blind as far as engineering is concerned.,"Verified User Current Employee W***** Engineer - Apr 4, 2022",
4,"Great wlb and comp, but also growth opportunities","If you want to coast, you can. If you want hypergrowth, that is easy to find too.",stock price isn’t the best and leadership isn’t the strongest,"Verified User Current Employee L***** Software Engineer II - Apr 4, 2022",
4,Great people to work with,"I had the opportunity to work with amazing people, going to work has been a pleasure thanks to my team.","Communication between teams can be really tough at times. Different teams are often too focused on solving their own problems, and do not pay attention to the bigger picture.","Verified User Current Employee F***** Software Engineer I - Apr 4, 2022",
5,great company and people,smart people and compensation has been adjusted to be great,don’t have much yet but can be pretty political like other large companies,"Verified User Current Employee f******* Software Engineer - Apr 3, 2022",
5,Good WLB but teams are hit or miss,- Good WLB- Teams can be either great impact and exciting projects or just working on migrations,"Product leadership, vision, and execution is shaky at all levels","Verified User Current Employee m******* Software Engineer - Apr 3, 2022",
3,"Good place to break into tech, but hard to stay when comp sucks","People and culture are strong, there is a lot of autonomy","Company is constantly taking shortcuts, growth opps limited, bad comp makes it hard to stay, you have to put in 110% just to be at expectations","Verified User Current Employee M***** Operations & Logistics Manager - Apr 3, 2022",
4,Great work life balance,Pay is decent. Work life balance is good. Teammate are nice,"lots of reorg, growth is not clearly. Projects are not interested","Verified User Current Employee f***** Software Engineer II - Apr 3, 2022",
