Rating,Description,Pros,Cons,Author Info,Resignation Reason
2.0,"Bad leaders, worst culture","Comp is ok, not the best. RSUs suck as the stock never grows.","No empathy for employees, treated as resources. Poor leaders, employees are worried about not making the manager angry not about doing the right thing for the company.","Verified User Current Employee  l********  Engineer - May 2, 2022",
3.0,It's a machine,"For a software engineer you won't be doing a lot of meetings, just churning through work.  If you like that kind of role, you'll like walmart.",Gigantic teams leads to communication issuesSometimes work life balance is not great when teams don't correctly communicate deadlinesStage server is broken 75% of the time which causes delays in getting things doneUnderpowered hardware means you will be wasting hours of every day just waiting for builds to completeVPN is incredibly slow and required for everything,"Verified User Current Employee  B*********  Software Engineer II - May 6, 2022",
4.0,Good Company but Lots of Politics,1. Good compensation2. Free food/transportation3. Get to work with some of the best technologists ,1. Deeply political atmosphere2. Weak HR policies3. Managers have powerful presence but Architects/Tech is limited to closed quarters,"Verified User Current Employee  c*******  Staff Software Engineer - May 6, 2022",
1.0,Horrible culture and WLB,Benefits are good. Compensation is comparable to market. Tech is good.,"Worst work life balance, poor management . Too much stress and pressure for no reason at all","Verified User Current Employee  h*******  Senior Software Engineer - May 6, 2022",
3.0,Low pay and slow progress ,Good internal documentations on technology and domain. Opportunity to explore based on one's interest. ,Show progress on projects due to beurocracy. Team split across different time zones. ,"Verified User Current Employee  z*****  Software Developer III - May 6, 2022",
4.0,Good company to work ,"Benefits are good other than salary.mobile reimbursement, food,cab ,etc are good facilities.",Management is not stable . Salary is less than the competitors salary.,"Verified User Current Employee  B*****  Software Engineer III - May 6, 2022",
5.0,Great place ,"Technical environment, people, Managers, compensation is good also growth is good ",Sometimes problems and processes are slow for security and other things ,"Verified User Current Employee  a*******  Software Engineer - May 5, 2022",
4.0,Decent,decent WLB depend on team. Good place to learn and grow ,maybe bad WLB if bad team . I see some teams work at night,"Verified User Current Employee  c*****  Software Engineer - May 5, 2022",
4.0,Good but not good,The new tech you can learn. But not the newest WLB is good,No growth pathTC is lowTop-down request Re-org many times,"Verified User Current Employee  R*****  Senior Software Back End Engineer - May 5, 2022",
3.0,not a gret team tht I worked for,very good work life balance with the team i worked,no technical growth in my team that i worked especially,"Verified User Current Employee  J****  Software Applications Developer - May 5, 2022",
